Experiment,Fitness,Health Gain,Average Health Gain,Total Health Gain,Player Life,Enemy Life,Time
experiment_adaptive_comma_bigger_1,0.9878147612157395,[-80.   14.  -30.    5.2  52.6 -90.   14.8  47.2],-8.274999999999867,-66.19999999999894,[ 0.  14.   0.   5.2 52.6  0.  14.8 47.2],[80.  0. 30.  0.  0. 90.  0.  0.],[320 691 272 691 691 309 691 691]
experiment_adaptive_comma_bigger_2,15.507753303964847,[-90.   58.  -10.  -30.   65.8 -10.    4.   61. ],6.1000000000001116,48.80000000000089,[ 0.  58.   0.   0.  65.8  0.   4.  61. ],[90.  0. 10. 30.  0. 10.  0.  0.],[321 454 281 454 454 335 454 454]
experiment_adaptive_comma_bigger_3,17.63717391304355,[-90.   72.   24.  -40.   61.6 -70.   87.4  28.6],9.200000000000088,73.6000000000007,[ 0.  72.  24.   0.  61.6  0.  87.4 28.6],[90.  0.  0. 40.  0. 70.  0.  0.],[321 368 368 368 368 282 368 368]
experiment_adaptive_comma_bigger_4,0.9676923076923654,[-70.   70.  -60.  -60.   64.6   7.  -10.  -20. ],-9.79999999999993,-78.39999999999944,[ 0.  70.   0.   0.  64.6  7.   0.   0. ],[70.  0. 60. 60.  0.  0. 10. 20.],[313 390 337 270 390 390 310 390]
experiment_adaptive_comma_bigger_5,22.550359809911797,[-50.   74.   58.  -10.   74.2 -30.  -10.   30.4],17.075000000000063,136.6000000000005,[ 0.  74.  58.   0.  74.2  0.   0.  30.4],[50.  0.  0. 10.  0. 30. 10.  0.],[ 384 1473 1473 1473 1473  438  202 1473]
experiment_adaptive_comma_bigger_6,1.8091069012179233,[-70.   56.  -40.  -50.  -20.  -10.   42.4  47.8],-5.474999999999927,-43.799999999999415,[ 0.  56.   0.   0.   0.   0.  42.4 47.8],[70.  0. 40. 50. 20. 10.  0.  0.],[323 739 167 306 739 290 739 739]
experiment_adaptive_comma_bigger_7,2.8420365535249204,[-80.  -10.  -70.  -40.   57.4  22.    2.8  62.8],-6.874999999999858,-54.99999999999886,[ 0.   0.   0.   0.  57.4 22.   2.8 62.8],[80. 10. 70. 40.  0.  0.  0.  0.],[320 164 156 383 383 383 383 383]
experiment_adaptive_comma_bigger_8,0.098581979320576,[ -70.    70.   -40.   -50.    64.6 -100.    91.6  -20. ],-6.724999999999948,-53.799999999999585,[ 0.  70.   0.   0.  64.6  0.  91.6  0. ],[ 70.   0.  40.  50.   0. 100.   0.  20.],[332 677 415 583 677 186 677 677]
experiment_adaptive_comma_bigger_9,9.206666666666747,[-70.   64.    8.  -70.   64.  -20.   11.2   5.2],-0.9499999999998998,-7.5999999999991985,[ 0.  64.   8.   0.  64.   0.  11.2  5.2],[70.  0.  0. 70.  0. 20.  0.  0.],[312 480 480 267 480 373 480 480]
experiment_adaptive_comma_bigger_10,15.617039274924554,[-90.   82.   14.  -50.   55.  -20.   23.2  26.2],5.050000000000102,40.400000000000816,[ 0.  82.  14.   0.  55.   0.  23.2 26.2],[90.  0.  0. 50.  0. 20.  0.  0.],[321 331 331 275 331 327 331 331]
