Experiment,Fitness,Health Gain,Average Health Gain,Total Health Gain,Player Life,Enemy Life,Time
experiment_adaptive_comma_bigger_1,16.85166666666675,[-80.   76.   24.  -30.   64.6   5.8 -10.    5.2],6.9500000000001005,55.600000000000804,[ 0.  76.  24.   0.  64.6  5.8  0.   5.2],[80.  0.  0. 30.  0.  0. 10.  0.],[321 480 480 455 480 480 254 480]
experiment_adaptive_comma_bigger_2,11.88333333333344,[-90.   56.  -30.    7.6  58.  -20.   10.6  30.4],2.8250000000001325,22.60000000000106,[ 0.  56.   0.   7.6 58.   0.  10.6 30.4],[90.  0. 30.  0.  0. 20.  0.  0.],[324 600 259 600 600 354 600 600]
experiment_adaptive_comma_bigger_3,9.428333333333413,[-70.   70.    2.  -70.   64.6   2.2 -10.    6.4],-0.5999999999999002,-4.799999999999201,[ 0.  70.   2.   0.  64.6  2.2  0.   6.4],[70.  0.  0. 70.  0.  0. 10.  0.],[312 480 480 269 480 480 297 480]
experiment_adaptive_comma_bigger_4,14.93480463096969,[-50.   78.    6.    3.4  64.6  25.  -50.  -30. ],5.875000000000103,47.000000000000824,[ 0.  78.   6.   3.4 64.6 25.   0.   0. ],[50.  0.  0.  0.  0.  0. 50. 30.],[411 691 691 691 691 691 330 463]
experiment_adaptive_comma_bigger_5,11.437500000000078,[-90.   70.   12.  -30.   52.  -20.    5.8   5.2],0.6250000000000977,5.000000000000782,[ 0.  70.  12.   0.  52.   0.   5.8  5.2],[90.  0.  0. 30.  0. 20.  0.  0.],[320 480 480 433 480 312 480 480]
experiment_adaptive_comma_bigger_6,13.200440251572388,[-70.   46.    0.  -20.   62.2 -10.  -10.   28.6],3.3500000000000743,26.800000000000594,[ 0.  46.   0.   0.  62.2  0.   0.  28.6],[70.  0.  0. 20.  0. 10. 10.  0.],[308 477 327 477 477 324 298 477]
experiment_adaptive_comma_bigger_7,5.781000000000109,[-30.   82.  -60.  -40.   19.6   2.2  16.6 -13.4],-2.874999999999875,-22.999999999999,[ 0.  82.   0.   0.  19.6  2.2 16.6 46.6],[30.  0. 60. 40.  0.  0.  0. 60.],[ 317 1000  148  368 1000 1000 1000 1000]
experiment_adaptive_comma_bigger_8,13.258185654008523,[-90.   36.   28.  -30.   62.2 -30.   19.6  30.4],3.275000000000105,26.20000000000084,[ 0.  36.  28.   0.  62.2  0.  19.6 30.4],[90.  0.  0. 30.  0. 30.  0.  0.],[321 474 474 474 474 245 474 474]
experiment_adaptive_comma_bigger_9,10.457467248908376,[-90.   62.  -20.  -20.   47.8 -10.    1.   28.6],-0.07499999999989981,-0.5999999999991985,[ 0.  62.   0.   0.  47.8  0.   1.  28.6],[90.  0. 20. 20.  0. 10.  0.  0.],[321 458 266 458 458 333 458 458]
experiment_adaptive_comma_bigger_10,15.345949367088647,[-70.   76.   40.  -60.   71.2 -60.   88.  -20. ],8.150000000000048,65.20000000000039,[ 0.  76.  40.   0.  71.2  0.  88.   0. ],[70.  0.  0. 60.  0. 60.  0. 20.],[311 395 395 283 395 211 395 395]
