Experiment,Fitness,Health Gain,Average Health Gain,Total Health Gain,Player Life,Enemy Life,Time
experiment_adaptive_comma_bigger_1,9.900650154798882,[-80.   26.  -40.  -90.   59.8  20.8  47.2  60.4],0.5250000000001478,4.200000000001182,[ 0.  26.   0.   0.  59.8 20.8 47.2 60.4],[80.  0. 40. 90.  0.  0.  0.  0.],[323 323 261 180 323 323 323 323]
experiment_adaptive_comma_bigger_2,5.780930930931024,[ -80.    62.   -20.   -50.    61.  -100.    44.2   53.8],-3.624999999999882,-28.999999999999055,[ 0.  62.   0.   0.  61.   0.  44.2 53.8],[ 80.   0.  20.  50.   0. 100.   0.   0.],[333 333 269 330 333 222 333 333]
experiment_adaptive_comma_bigger_3,27.071379310344895,[100.  -60.   50.  -70.   71.8 -60.   91.   55. ],22.225000000000083,177.80000000000067,[100.    0.   50.    0.   71.8   0.   91.   55. ],[ 0. 60.  0. 70.  0. 60.  0.  0.],[435 310 435 362 435 207 435 435]
experiment_adaptive_comma_bigger_4,11.741495327102877,[-30.   68.  -20.  -70.   56.2 -80.   87.4  28.6],5.025000000000087,40.2000000000007,[ 0.  68.   0.   0.  56.2  0.  87.4 28.6],[30.  0. 20. 70.  0. 80.  0.  0.],[347 535 447 309 535 160 535 535]
experiment_adaptive_comma_bigger_5,14.807522123893841,[100.  72. -40. -70.  85. -70.   1. -10.],8.500000000000046,68.00000000000037,[100.  72.   0.   0.  85.   0.   1.   0.],[ 0.  0. 40. 70.  0. 70.  0. 10.],[565 565 338 267 565 174 565 565]
experiment_adaptive_comma_bigger_6,3.9518181818182665,[-80.   24.   14.  -50.    0.4 -80.   72.4  57.4],-5.224999999999898,-41.79999999999919,[ 0.  24.  14.   0.   0.4  0.  72.4 57.4],[80.  0.  0. 50.  0. 80.  0.  0.],[321 550 550 335 550 274 550 550]
experiment_adaptive_comma_bigger_7,14.812793522267265,[ 100.   -10.    64.   -60.    60.4 -100.   -10.    21.4],8.225000000000072,65.80000000000058,[100.    0.   64.    0.   60.4   0.    0.   21.4],[  0.  10.   0.  60.   0. 100.  10.   0.],[494 323 494 494 494 176 176 494]
experiment_adaptive_comma_bigger_8,30.60991596638663,[100.   74.  -30.  -70.   83.2 -60.   37.   64. ],24.775000000000098,198.20000000000078,[100.   74.    0.    0.   83.2   0.   37.   64. ],[ 0.  0. 30. 70.  0. 60.  0.  0.],[357 357 328 312 357 215 357 357]
experiment_adaptive_comma_bigger_9,16.15590330788811,[-70.   72.   56.  -70.   54.4 -70.   87.4  16.6],9.550000000000082,76.40000000000066,[ 0.  72.  56.   0.  54.4  0.  87.4 16.6],[70.  0.  0. 70.  0. 70.  0.  0.],[308 393 393 269 393 163 393 393]
experiment_adaptive_comma_bigger_10,14.827885835095177,[ 100.   -10.    24.   -60.    89.2 -100.   -40.    67.6],8.850000000000051,70.80000000000041,[100.    0.   24.    0.   89.2   0.    0.   67.6],[  0.  10.   0.  60.   0. 100.  40.   0.],[473 324 473 286 473 290 282 473]
