Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-37.00102564102562,-80.64497242825902,15.419321946415026,-42.049999999999926,-86.2665,15.350887686059075,140.75,257.99875,37.1112305904493
0,-37.00102564102562,-79.68999187755125,15.201930466886795,67.00000000000031,-85.23349999999999,25.93231146176524,15.0,260.26125,123.08946136220395
1,-37.00102564102562,-83.21527043092452,14.683245496051487,42.40000000000029,-88.74625,23.2984969673475,15.0,258.5075,125.58377659455063
2,-37.00102564102562,-84.64654439703335,14.144838669562263,43.00000000000029,-90.0855,21.861397250633377,15.0,260.59875,141.16825155975226
3,-37.00102564102562,-85.10581705934746,14.064344807975118,53.200000000000315,-90.59875,22.211898803062763,15.0,253.3725,116.56973768414339
4,-33.02119047619045,-85.61561335362254,13.54683335479024,43.60000000000029,-91.06650000000002,20.61502310816072,15.0,252.39125,119.34394904408644
5,-40.61819887429643,-86.19458792071241,12.353325760627968,24.0,-92.0075,15.38554333619713,83.0,284.35625,115.44836220552243
6,-40.61819887429643,-85.2197003149846,12.70848514664628,-20.0,-91.0375,15.52573971667695,83.0,287.845,122.30842560919506
7,-40.61819887429643,-85.76069044424275,11.79090067933969,-10.0,-91.55,14.961534012259571,83.0,290.9425,123.77868028764081
8,-40.61819887429643,-84.76351629336934,12.325769390020744,-10.0,-90.52,15.921670766599842,83.0,289.2025,127.17395171083581
9,-40.61819887429643,-84.22353033468869,13.382137762504835,40.0,-90.0075,17.2665846000302,83.0,296.60125,127.10682416155909
10,-40.61819887429643,-83.87328787083008,13.66280826861782,22.0,-89.665,17.327370689172664,83.0,298.76875,126.43338274932574
11,-40.61819887429643,-84.26114404229742,13.102489207567265,20.0,-90.0675,16.603928563746592,83.0,299.8175,133.03366751972976
12,-40.61819887429643,-84.0924356547217,13.523373354567733,20.0,-89.8875,17.076660790388733,83.0,300.4575,133.1537483278259
13,-40.61819887429643,-78.59778532595766,13.626349015932735,20.0,-84.59875,19.776651598223093,83.0,302.69625,136.01610745032184
14,-40.05571847507331,-72.64325550047975,13.443264507020515,100.0,-78.87,22.443776420201658,83.0,324.06,145.0588291004722
15,-38.88568507157464,-66.62965270584866,13.201929339546984,66.0,-73.42,23.478364508627937,83.0,339.76375,145.78608622203114
16,-8.021951219512161,-59.200527675243755,14.046430894268093,100.0,-64.73424999999999,34.86979820614832,102.0,371.0125,172.40981655274155
17,-30.54033771106942,-60.99179788612329,11.969166261253514,66.0,-67.00399999999999,23.72373039806346,83.0,370.4425,152.54340101672702
18,-30.54033771106942,-54.64552970949913,9.167127003211265,100.0,-61.986,25.47402410299559,83.0,398.87125,143.29885614839185
19,-30.54033771106942,-52.157230040740814,10.399530171810499,100.0,-59.71625,29.853963487910615,84.0,419.0675,162.9389009529339
20,-26.856642685851288,-54.69435985392698,11.390220754932047,100.0,-62.31475,26.79027962596696,83.0,402.98125,155.3032787755542
21,-14.781411359724613,-49.02536761368077,10.557241835594503,82.00000000000017,-56.26949999999999,31.02210292275494,15.0,320.6025,134.04619350712647
22,-14.781411359724613,-42.84080277144273,10.951518329399603,89.8000000000001,-51.99949999999999,31.899515666385927,15.0,304.525,115.86249123422127
23,-14.781411359724613,-36.38724731639873,11.879157957739393,89.8000000000001,-51.62299999999999,34.11949253725795,15.0,300.32625,114.48579523651613
24,-14.781411359724613,-40.75595903580661,10.794963438208086,91.00000000000009,-58.256499999999996,34.49412714869013,15.0,301.54625,120.16137216650574
25,-14.781411359724613,-41.32398286277478,9.997523714106455,50.0,-55.927749999999996,32.626626088786765,15.0,298.29875,118.92661391983502
26,-10.48695652173912,-38.98184596228475,9.381735952153953,100.0,-59.27075,34.716853896018584,15.0,271.46875,113.53046517757909
27,-7.677154811715448,-40.06050941925255,9.333032441172936,100.0,-58.43599999999998,37.82632686370704,119.0,323.04,106.23788589764011
28,-0.6281761006289184,-12.053808028021745,8.759683128701818,86.80000000000013,-20.32474999999998,54.72966277474677,15.0,283.4925,77.92810753348242
29,-31.338095238095235,-43.70993629527071,4.683841979615896,24.0,-68.054,25.09170149671006,83.0,283.0825,60.159294325565355
30,-17.69335180055402,-26.803850936206977,4.380313817578102,74.0,-48.96449999999999,46.62012805377095,109.0,295.1425,69.11689152262275
31,-24.72499999999995,-24.92173475973131,1.5385208098216168,43.60000000000029,-61.96374999999996,35.146082796486795,135.0,294.845,51.872882848363076
32,-21.22997971602431,-40.658427890347276,5.525424276818462,65.80000000000032,-66.21924999999999,30.746165280202074,124.0,349.78375,149.57007383142357
33,-21.844999999999946,-21.9622229990118,1.0481586509950362,49.000000000000306,-65.28024999999998,35.84370948907919,161.0,296.755,46.13198429506365
34,-25.936649214659656,-42.025358062808465,3.203523231126144,55.00000000000032,-69.11025,26.751063435637516,136.0,360.295,152.66466675364018
35,-35.68208955223881,-42.26325780794728,1.108740289296387,10.000000000000231,-67.91749999999998,24.742831158741755,83.0,268.89125,60.40456872983616
36,-33.53249999999998,-41.54889073837566,2.8460899012471943,8.800000000000232,-65.59474999999999,28.52236354928361,83.0,268.1325,61.06236519944179
37,-24.219627329192512,-34.02344345380752,2.9510932575809754,50.80000000000031,-59.40674999999997,42.96386859254538,83.0,277.95,56.425969198587985
38,-35.338749999999976,-37.68832134725912,1.425170209261746,5.200000000000234,-68.154,25.95367187894616,83.0,269.55875,72.21553882951716
39,-35.338749999999976,-36.850592181067235,1.9438109432811779,17.80000000000023,-70.75099999999999,23.36967691261479,83.0,261.5375,69.20938226678518
