Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-22.800806451612903,-76.88037321429896,20.204986095721146,-20.149999999999856,-82.27599999999998,21.55977444223387,157.25,292.04625,40.47375752802673
0,-3.3483870967741662,-40.15363997358774,10.606047348737166,59.20000000000033,-60.88124999999998,40.64955778895392,15.0,293.59125,121.18185372999334
1,-3.3483870967741662,-33.38816985517008,7.13569500928542,77.20000000000022,-49.056249999999956,45.080180633372656,15.0,306.15875,119.83998100983452
2,-3.3483870967741662,-28.602143471557387,6.416081621574542,77.20000000000022,-47.39674999999994,48.207997670900085,15.0,306.165,105.71189750922078
3,-3.3483870967741662,-25.71305521422413,6.2054647536583145,67.00000000000031,-46.34849999999995,48.772830015798846,15.0,319.53,116.7488184094383
4,-3.3483870967741662,-41.03664439523698,14.337082201030352,81.40000000000018,-57.94324999999997,42.95281980775542,15.0,306.95625,123.0170184809301
5,-3.3483870967741662,-36.59508792334636,11.72607802537625,68.8000000000003,-58.87924999999996,43.51826822654488,15.0,292.9125,112.39364903654477
6,-3.3483870967741662,-34.744378372595385,10.305189624441418,65.80000000000032,-54.980749999999965,44.19561267181966,15.0,294.21625,112.14641985341085
7,-3.3483870967741662,-33.339013644231855,9.174649102195254,79.0000000000002,-54.523749999999964,45.98706378904298,15.0,298.83,114.91302624158848
8,-3.3483870967741662,-31.29742217862393,8.697520212357963,64.00000000000034,-52.24674999999995,48.03802415209756,15.0,298.385,112.56416736688458
9,-3.3483870967741662,-31.696945827331728,10.627126858971446,65.80000000000032,-51.09924999999994,49.05176856584796,15.0,283.365,106.89238408324513
10,-3.3483870967741662,-28.892198936360238,8.942893659698166,81.40000000000018,-49.761749999999935,48.90686032590428,15.0,271.41,108.25420038040093
11,-3.3483870967741662,-28.045394354763918,7.228059055380791,80.20000000000019,-44.268999999999934,51.8911643635023,15.0,289.66375,99.6318507603743
12,-3.3483870967741662,-24.99145585255972,6.755874293303708,80.20000000000019,-42.63599999999993,50.93619443971066,15.0,278.0925,104.6406658223752
13,-3.3483870967741662,-27.180060554970996,8.1469877490321,67.6000000000003,-49.44974999999994,49.564854230972074,15.0,281.94875,105.73644652359705
14,-3.3483870967741662,-27.128622831003483,8.73444291936481,61.000000000000334,-45.256749999999926,50.350961554249494,39.0,282.35375,108.79353662298831
15,-2.4656565656565324,-25.435452129903396,7.759560408803289,64.60000000000034,-45.36074999999993,50.84973657195788,80.0,290.8225,94.77781118885369
16,-2.4656565656565324,-22.102300542917657,6.666752891006917,86.80000000000013,-36.84874999999992,53.34207976295556,15.0,292.70375,97.40666551082376
17,-2.4656565656565324,-20.947167945122345,6.359640930866819,83.80000000000015,-39.51549999999992,53.077267824842046,30.0,282.2125,88.55468561149094
18,-2.4656565656565324,-19.70579970694057,7.091988655573647,64.60000000000034,-33.36849999999991,52.93231628929545,16.0,286.0375,85.79905939898175
19,-2.4656565656565324,-21.487903141264468,8.370001249375369,59.80000000000033,-41.981999999999935,48.80843242719448,57.0,301.21875,81.82717090574194
20,-2.4656565656565324,-21.333370808105812,7.315255631975765,64.00000000000034,-48.579499999999946,49.537654160749376,83.0,303.64875,81.57050860107162
21,-2.439999999999941,-21.55245187095824,7.4119160922504985,70.60000000000028,-45.776749999999936,50.69754638478583,15.0,285.99125,102.0913986261208
22,-2.439999999999941,-17.635738829775146,5.554237878802562,75.40000000000023,-34.601499999999916,54.08964131652209,15.0,296.97875,92.43928168499309
23,-2.439999999999941,-16.329081939514946,4.875247603802177,64.60000000000034,-29.387749999999905,52.680266703363536,15.0,301.54625,83.26501582860294
24,-2.439999999999941,-16.783202968964133,5.752014839102066,61.600000000000335,-35.12999999999991,53.063378143499435,15.0,296.425,86.54013158644953
25,-2.439999999999941,-18.42900820448532,5.463549386424907,66.40000000000032,-33.71349999999992,51.57656364813395,83.0,301.46625,82.3721971355475
26,-2.439999999999941,-17.864709166617544,5.227608986495866,67.6000000000003,-36.84774999999992,51.516763969969155,83.0,300.3825,89.33640743700185
27,-2.439999999999941,-17.120450398739525,4.857818351908152,62.80000000000034,-36.20474999999992,52.07347239658129,83.0,292.12125,85.52059137095287
28,-1.7697448359659784,-17.266267290598023,5.053114784705038,100.0,-40.57449999999994,49.990397575434535,72.0,299.1575,89.04497567942842
29,-1.7697448359659784,-13.690023167339582,4.44007054832421,100.0,-30.675249999999906,53.86204310493163,15.0,297.9575,107.78237654528684
30,-1.7697448359659784,-11.620260878992093,4.452609758446029,100.0,-28.10999999999991,53.49948317507388,83.0,308.98875,83.15296821784234
31,3.6610707456979403,-9.81803168105029,4.774826053064974,100.0,-32.97699999999992,50.874926741962106,47.0,301.70375,112.65475349907567
32,3.6610707456979403,-7.234531385120583,6.620921898293671,100.0,-22.680249999999923,54.710595042802346,15.0,349.0825,162.26755896897566
33,4.090780141843996,1.1893018260873216,3.4927026537429198,100.0,3.0822500000000357,65.2546663843859,28.0,464.27625,202.66809057159813
34,17.667622789783913,3.768497693841292,0.9899403794844288,100.0,-38.99274999999997,39.95124900973066,175.0,383.75375,92.09480501601325
35,17.667622789783913,4.25820083965818,2.148436476287007,100.0,-16.492749999999955,52.69416426358337,60.0,422.85625,111.82705659158476
36,22.765773195876314,8.757143310870195,7.584154005605481,100.0,-0.2797499999999644,55.665566465612315,15.0,418.10375,170.18018535052047
37,22.765773195876314,18.34053990577325,1.4740534435207784,100.0,75.18350000000002,41.748838639535805,175.0,480.56125,91.11682747131563
38,23.245773195876314,22.415761032590645,1.1063954785779007,100.0,47.94675000000003,47.33119177072873,168.0,434.32125,128.6339206758369
39,23.245773195876314,22.979373195876313,0.238543580923906,100.0,69.66250000000002,47.38426103412395,15.0,446.0975,108.44440047208523
