Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-26.50990990990989,-76.77422491332526,20.361331921205583,-26.69999999999992,-82.25474999999999,21.612996435883222,187.75,293.7725,35.243635861670114
0,-24.40286604361365,-76.38243423822799,20.8329976092951,59.20000000000033,-81.70474999999999,32.7159743464489,15.0,296.54375,121.40387385062101
1,-23.943719115734698,-76.07264905858024,21.243950196545875,63.40000000000034,-81.51624999999999,32.89268362322391,15.0,295.74375,116.02461198356795
2,-23.943719115734698,-76.19640958523345,21.67189607146544,72.0,-81.59774999999999,32.980679873791296,15.0,297.2675,120.45918787601882
3,-23.219399538106234,-74.95335249513813,22.243932693127157,71.20000000000027,-80.2105,34.72374964991545,15.0,294.245,114.04252485367026
4,-23.219399538106234,-77.08221785318878,21.559773389816407,64.00000000000034,-82.46625,32.668929595833134,15.0,294.13875,115.76619540451996
5,-10.070570342205297,-76.9202528301719,22.172465792959763,51.40000000000031,-82.3805,32.19989316364267,15.0,296.79125,120.06197430259716
6,-10.070570342205297,-74.22736843009574,22.490346170643928,55.60000000000032,-79.58899999999998,34.217774313943956,15.0,294.08125,112.98521871659806
7,-10.070570342205297,-72.54907308826279,24.035820494309124,66.40000000000032,-77.70374999999999,36.04918287475464,15.0,295.265,118.77682760117817
8,-10.070570342205297,-75.37386872367748,22.213466051083103,64.00000000000034,-80.71074999999998,33.5042965071273,15.0,298.44375,125.12316666364187
9,-10.070570342205297,-74.45670815478282,22.572153750633753,79.0000000000002,-79.64949999999999,35.074547035564166,15.0,297.365,120.73022312163596
10,-10.070570342205297,-72.226003363532,22.90734346953633,91.00000000000009,-77.41075,35.06002045688939,15.0,294.615,125.49759669013586
11,-10.070570342205297,-73.17153851273137,22.33247979414789,58.60000000000033,-78.36399999999998,35.01989868631837,15.0,294.375,119.48243333226856
12,-10.070570342205297,-73.53027743306798,21.857485403269806,58.00000000000033,-78.94075,33.436622727744236,15.0,291.36,114.26107342397935
13,-10.070570342205297,-66.98587156443632,20.98598031511254,69.40000000000029,-73.55974999999998,35.98458183635741,15.0,296.27625,118.0341155596021
14,-10.070570342205297,-52.014945033461544,20.125712558849532,89.2000000000001,-61.03774999999998,41.53781800886399,15.0,302.12625,114.6698753419463
15,-10.070570342205297,-43.175778434399156,14.2211830353473,67.00000000000031,-50.23124999999996,44.42624082046001,15.0,303.6675,114.89833307646373
16,-10.070570342205297,-40.43753065371395,12.508452709264107,65.80000000000032,-46.472249999999946,45.513245653738075,15.0,306.9675,113.69835726056029
17,-10.070570342205297,-38.34300835358985,10.901388744816021,66.40000000000032,-45.08899999999994,45.89928734740887,20.0,302.52875,116.13227016397079
18,-10.070570342205297,-34.50694265613406,6.657383349708926,62.80000000000034,-48.19549999999995,43.554800880614835,83.0,291.65875,116.78655658267135
19,-10.070570342205297,-33.32155578319682,7.171512736664917,59.20000000000033,-48.65724999999995,44.65961455764601,15.0,300.625,112.28185238496914
20,-10.070570342205297,-34.097836680863495,9.159636586667592,64.60000000000034,-48.474249999999955,45.754841677548264,23.0,302.14125,107.94177272232238
