Individual,Fitness,HealthGain1,HealthGain2,HealthGain3,HealthGain4,HealthGain5,HealthGain6,HealthGain7,HealthGain8,EnemiesBeaten
1,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
2,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
3,-37.994999999999955,-90.0,-10.0,-70.0,-90.0,-1.399999999999892,-100.0,-20.0,28.600000000000257,1
4,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
5,-85.64322250639387,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-90.0,-100.0,0
6,-70.22599999999998,-100.0,-70.0,-80.0,-100.0,5.600000000000136,-90.0,-100.0,-70.0,1
7,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
8,-68.98599999999999,-100.0,-70.0,-90.0,-100.0,10.400000000000091,-90.0,-90.0,-70.0,1
9,-92.35278514588859,-100,-100,-100,-100,-100,-100,-100,-100,0
10,-90.44813278008299,-100,-100,-100,-100,-100,-100,-100,-100,0
11,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
12,-89.70454545454545,-100,-100,-100,-100,-100,-100,-100,-100,0
13,-27.883613445378103,-100.0,8.0,-60.0,-90.0,-60.0,-60.0,26.20000000000025,29.80000000000026,3
14,-69.83,-100.0,-70.0,-90.0,-100.0,10.400000000000091,-90.0,-100.0,-70.0,1
15,-93.09668874172185,-100,-100,-100,-100,-100,-100,-100,-100,0
16,-49.72818181818179,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
17,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
18,-86.21999999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
19,-33.88475345167649,-50.0,-50.0,22.0,-80.0,60.40000000000033,-90.0,-90.0,-70.0,2
20,-24.36540983606554,-70.0,70.0,-70.0,-60.0,64.60000000000034,-100.0,-20.0,-70.0,2
21,-35.26927601809949,-90.0,-10.0,-70.0,-80.0,-80.0,-100.0,41.80000000000029,52.600000000000314,2
22,-89.70454545454545,-100,-100,-100,-100,-100,-100,-100,-100,0
23,-86.32294429708223,-100.0,-90.0,-100.0,-100.0,-100.0,-70.0,-90.0,-100.0,0
24,-41.57107279693485,-50.0,-70.0,-30.0,-80.0,82.00000000000017,-90.0,-100.0,-70.0,1
25,-42.95251748251745,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
26,-37.99299999999995,-90.0,-10.0,-70.0,-90.0,-1.399999999999892,-100.0,-20.0,28.600000000000257,1
27,-89.39545454545454,-100,-100,-100,-100,-100,-100,-100,-100,0
28,-37.99099999999996,-90.0,-10.0,-70.0,-90.0,-1.399999999999892,-100.0,-20.0,28.600000000000257,1
29,-93.11788079470199,-100,-100,-100,-100,-100,-100,-100,-100,0
30,-41.44531992687383,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
31,-70.234,-100.0,-90.0,-70.0,-100.0,8.000000000000114,-90.0,-90.0,-70.0,1
32,-86.14799999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
33,-89.65,-100,-100,-100,-100,-100,-100,-100,-100,0
34,-48.686190476190454,-90.0,-100.0,-80.0,-90.0,75.40000000000023,-10.0,-100.0,-60.0,1
35,-69.75899999999996,-100.0,-50.0,-90.0,-100.0,-10.199999999999669,-100.0,-90.0,-70.0,0
36,-18.008842729970294,-70.0,70.0,-60.0,-70.0,64.60000000000034,-70.0,-10.0,-80.0,2
37,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
38,-80.81199999999997,-90.0,-100.0,-80.0,-100.0,-58.79999999999971,-100.0,-100.0,-70.0,0
39,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
40,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
41,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
42,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
43,-47.466791808873694,-90.0,-10.0,-70.0,-90.0,-90.0,-100.0,-20.0,28.600000000000257,1
44,-17.602908011869403,-70.0,74.0,-60.0,-70.0,64.60000000000034,-70.0,-10.0,-80.0,2
45,-86.21999999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
46,-56.50112044817928,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,-70.0,1
47,-86.60599999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
48,-69.47932330827068,-100.0,-50.0,-90.0,-90.0,-90.0,-90.0,-30.0,-90.0,0
49,-52.70999999999998,-90.0,-10.0,-70.0,-90.0,-15.599999999999852,-100.0,-20.0,-70.0,0
50,-93.08344370860927,-100,-100,-100,-100,-100,-100,-100,-100,0
51,-35.81329218106993,-100.0,-50.0,40.0,-70.0,33.40000000000027,-80.0,-40.0,-90.0,2
52,-66.098,-100.0,-60.0,-80.0,-100.0,10.400000000000091,-90.0,-100.0,-60.0,1
53,-35.242238805970125,-100.0,80.0,-70.0,-90.0,-30.0,-80.0,25.60000000000025,-80.0,2
54,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
55,-93.09933774834437,-100,-100,-100,-100,-100,-100,-100,-100,0
56,-72.29527559055119,-100.0,-40.0,-80.0,-100.0,-100.0,-100.0,-40.0,-100.0,0
57,-86.21999999999997,-100.0,-100.0,-100.0,-100.0,-43.199999999999676,-100.0,-100.0,-100.0,0
58,-81.90299999999996,-100.0,-100.0,-100.0,-90.0,-55.799999999999706,-60.0,-100.0,-100.0,0
59,-48.345999999999954,-100.0,28.0,-70.0,-90.0,-36.799999999999685,-100.0,-20.0,-50.0,1
60,-93.07814569536424,-100,-100,-100,-100,-100,-100,-100,-100,0
61,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
62,-92.66898954703832,-100,-100,-100,-100,-100,-100,-100,-100,0
63,-92.26225165562914,-100,-100,-100,-100,-100,-100,-100,-100,0
64,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
65,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
66,-55.61699999999998,-80.0,-10.0,-70.0,-90.0,-1.399999999999892,-100.0,-90.0,-60.0,0
67,-40.73107279693486,-50.0,-70.0,-30.0,-80.0,90.40000000000009,-90.0,-100.0,-70.0,1
68,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
69,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
70,-52.695881006864965,-70.0,-100.0,-60.0,-60.0,22.00000000000024,-50.0,-100.0,-60.0,1
71,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
72,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
73,-89.34773776546628,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.59999999999977,0
74,-93.07019867549668,-100,-100,-100,-100,-100,-100,-100,-100,0
75,-92.38292011019284,-100,-100,-100,-100,-100,-100,-100,-100,0
76,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
77,-48.63633136094671,-100.0,-40.0,-100.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
78,-70.96299999999997,-100.0,-70.0,-80.0,-100.0,-17.799999999999663,-100.0,-80.0,-70.0,0
79,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
80,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
81,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
82,-92.22624434389141,-100,-100,-100,-100,-100,-100,-100,-100,0
83,-51.07199999999996,-80.0,-40.0,-70.0,-60.0,-23.199999999999676,-100.0,-50.0,-30.0,0
84,-45.253465346534654,-70.0,-30.0,-90.0,-70.0,-50.0,-80.0,-10.0,-40.0,0
85,-93.61183431952662,-100,-100,-100,-100,-100,-100,-100,-100,0
86,-63.031772575250834,-100.0,-30.0,-80.0,-90.0,-70.0,-100.0,-20.0,-90.0,0
87,-74.83132530120481,-70.0,-90.0,-60.0,-70.0,-100.0,-100.0,-90.0,-80.0,0
88,-34.2538922155688,-100.0,-50.0,-50.0,-60.0,55.60000000000032,-80.0,-100.0,57.400000000000325,2
89,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
90,-89.1,-100,-100,-100,-100,-100,-100,-100,-100,0
91,-93.12582781456953,-100,-100,-100,-100,-100,-100,-100,-100,0
92,-78.45978391356543,-70.0,-90.0,-80.0,-70.0,-100.0,-100.0,-90.0,-80.0,0
93,-42.997972027972,-100.0,28.0,-70.0,-90.0,-90.0,-100.0,-20.0,29.80000000000026,2
94,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
95,-69.788,-100.0,-70.0,-90.0,-100.0,10.400000000000091,-90.0,-100.0,-70.0,1
96,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
97,-88.91702355460386,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,0
98,-89.72727272727272,-100,-100,-100,-100,-100,-100,-100,-100,0
99,-93.10198675496689,-100,-100,-100,-100,-100,-100,-100,-100,0
100,-33.539999999999964,-90.0,2.0,-70.0,-90.0,-1.9999999999998863,-90.0,-20.0,28.600000000000257,2
101,-18.020712166172075,-70.0,70.0,-60.0,-70.0,64.60000000000034,-70.0,-10.0,-80.0,2
102,-47.77778115501516,-100.0,-40.0,-90.0,-70.0,33.40000000000027,-90.0,-30.0,-90.0,1
103,-75.90818858560795,-100.0,-40.0,-90.0,-70.0,-90.0,-100.0,-100.0,-90.0,0
104,-86.77523240371846,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-80.0,-90.0,0
105,-48.04126050420165,-90.0,-10.0,-70.0,-90.0,-90.0,-100.0,-20.0,28.600000000000257,1
106,-91.25,-100,-100,-100,-100,-100,-100,-100,-100,0
107,-38.084300626304774,-100.0,28.0,-70.0,-70.0,-90.0,-90.0,-20.0,29.80000000000026,2
108,-75.35299999999997,-100.0,-90.0,-90.0,-80.0,-64.19999999999973,-90.0,-90.0,-60.0,0
109,-34.53499999999996,-90.0,6.0,-70.0,-90.0,-1.399999999999892,-100.0,-20.0,28.600000000000257,2
110,-69.83,-100.0,-70.0,-90.0,-100.0,10.400000000000091,-90.0,-100.0,-70.0,1
111,-18.008842729970294,-70.0,70.0,-60.0,-70.0,64.60000000000034,-70.0,-10.0,-80.0,2
112,-87.93736730360934,-100.0,-100.0,-100.0,-100.0,-90.0,-90.0,-100.0,-100.0,0
113,-77.51302083333333,-100.0,-60.0,-70.0,-100.0,-80.0,-100.0,-90.0,-70.0,0
