Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,5.378584922346621,2.7927668744415564,0.8610065161199507,-6.6318260636166295,-9.520311895793617,0.8389557629847365,9.62849628753164,15.466519675534373,2.475032646935927
0,5.947695579659893,3.2366211556586904,0.9536676486722093,-3.8603364824729107,-9.103487489277517,1.0828814612637083,10.369080401997657,15.752354532690022,2.188406951381644
1,5.947695579659893,3.8760718504976337,0.9163979849396604,-3.8603364824729107,-8.465988672427786,1.0680102773099132,10.733234812733043,15.346932919442144,1.653490753706921
2,6.167381589531979,4.4807919858214955,0.6229895212041694,-3.630917043403522,-7.721491171934645,1.0123478537235633,11.437703495125703,15.359220754478036,1.0355448106675562
3,6.167381589531979,4.831783676575022,0.5423019604303218,-3.4430638720815026,-7.209886735836509,1.1164637698982238,12.890135521571395,15.349984763199238,0.8328781657934801
4,6.322438644744122,5.185152248800023,0.43796551361309216,-3.3568406709171876,-6.696857416301338,1.1881467355708952,13.73085927272546,15.581103494839503,0.6479136850485814
5,6.322438644744122,5.50130749773794,0.274704927684344,-3.3335799419513528,-6.056750567368989,1.14191388492429,14.210816415050838,15.73423370780991,0.6472552101928809
6,6.655291560648109,5.611572875353732,0.3243047299363529,-2.5092289625303197,-5.761266766983988,1.2959354562956673,14.210816415050838,15.76317637379194,0.6848843773237154
7,6.655291560648109,5.685197466866222,0.35658255797335564,-2.5092289625303197,-5.460878031021132,1.366039416475501,13.816314530151729,15.801070412326274,0.7825195389278172
8,6.690849695023846,5.79468703716049,0.3861416247799223,-2.3799852054332766,-5.031847835122544,1.4123040113431125,13.816314530151729,15.827351012910093,0.871993034698906
9,6.712842355096943,5.923716221103008,0.39754062136798557,-2.3027481175277287,-4.6915357302525855,1.397813545930143,13.781767377484988,15.850169349234468,0.9163085149508886
10,7.257055407704212,6.0042899258020554,0.3843969805266604,-0.9671502961109049,-4.481916786519561,1.3831968963567847,13.816314530151729,15.970695165551271,1.0650855665579697
11,7.257055407704212,6.074410796398666,0.3865629912489978,-0.9671502961109049,-4.289152330828226,1.3805761147134887,13.844589377232767,15.921734680526017,0.9809737109402971
12,7.257055407704212,6.111879619355765,0.3558462944594423,-0.9671502961109049,-4.102980126642077,1.2439814286119268,13.844589377232767,15.79506686788724,0.9288154356506986
13,7.257055407704212,6.197737789718435,0.3455460261807553,-0.9671502961109049,-3.8987391769924056,1.2267348700139031,13.819579298741237,15.929658796317648,1.0749810512200981
14,7.257055407704212,6.258080436481027,0.3641084782398105,-0.5847096070425863,-3.732972151321986,1.2381483213424924,13.819579298741237,16.00521144626604,0.9492818467835181
15,7.257055407704212,6.27070594476552,0.35582225584908683,-0.5847096070425863,-3.7549784162319253,1.2226381779947884,13.606004790330147,16.095821575820704,0.9433531415767574
16,7.257055407704212,6.348642838887669,0.2884210603360133,-0.5847096070425863,-3.6055091822237717,1.1397508302333572,13.988826967146997,16.171540713969467,0.9586230115097759
17,7.257055407704212,6.300983331889658,0.3506093960123069,-0.5847096070425863,-3.7897931098058746,1.2727674130318212,13.988826967146997,16.241099300165715,0.9078879257637554
18,7.257055407704212,6.314735540767737,0.35526571617340447,-0.5847096070425863,-3.7293925777745973,1.2851516441631863,13.988826967146997,16.170071627831767,0.9119972758542537
19,7.257055407704212,6.378127150266202,0.29220769877373703,-0.5847096070425863,-3.5570576340832862,1.1329367977682367,13.988826967146997,16.272033327567875,0.8860505502062181
20,7.257055407704212,6.393124459919673,0.31973483521223695,-0.5847096070425863,-3.553806755081112,1.2223739035621082,13.988826967146997,16.28166280936125,0.8451527148816246
21,7.257055407704212,6.427523095343244,0.3096020650866503,-0.5847096070425863,-3.3997699723617156,1.1415550329082766,14.537245103949937,16.35679644345196,0.7983798223304892
22,7.257055407704212,6.440358775073911,0.30317306807549527,-0.5847096070425863,-3.3975589177303207,1.1721837129854076,14.693236589201797,16.373593106271993,0.7728566207164919
23,7.257055407704212,6.471783157315515,0.2718792362756972,-0.5847096070425863,-3.2503253498703986,1.0160481855621826,14.693236589201797,16.318931371726194,0.7558962679486281
24,7.257055407704212,6.498457307522115,0.25232898030342804,-0.5847096070425863,-3.0817259119933045,0.8654797175641479,14.573318104144041,16.2171060988483,0.6438765862097386
25,7.257055407704212,6.522698827413799,0.26363272905672364,-0.5847096070425863,-3.005824496630379,0.9014858554016061,14.693236589201797,16.233768720193652,0.6663045291023968
26,7.257055407704212,6.5494879493738525,0.2577073161470692,-0.5847096070425863,-2.9534348718812335,0.9363013137933359,14.58979744482167,16.212444839041645,0.6611629617152904
27,7.257055407704212,6.598097640354421,0.20571090916870696,-0.5847096070425863,-2.788395689606212,0.7859344840257433,14.75128787202477,16.20597303940506,0.6388935805611808
28,7.257055407704212,6.598965987878037,0.2211743697736252,-0.5847096070425863,-2.741961124977136,0.7971140148584419,14.615588790371158,16.166627131234094,0.6938065262061743
29,7.257055407704212,6.58432015111946,0.2656970470227563,-0.5847096070425863,-2.8252697944197798,0.9309798279411002,14.615588790371158,16.218634062642796,0.7780961559955246
