Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-42.80681818181818,-80.00868010335645,14.747676502811052,-37.24999999999998,-85.4905,14.938597147992182,171.75,262.635,41.74780563095502
0,-42.80681818181818,-68.9760228399998,12.638618513157317,91.00000000000009,-74.41149999999999,30.02763340241785,15.0,270.395,132.27125150613796
1,-36.96797546012267,-62.0839663815131,11.728267618580219,91.00000000000009,-67.74249999999999,32.87196972726157,15.0,269.155,88.46180517601933
2,-36.96797546012267,-56.09979697305197,11.157577312263548,91.00000000000009,-61.95499999999999,32.6654890519031,15.0,269.98,74.86838184440745
3,-35.13636363636364,-54.26393378099475,10.5426581403595,85.60000000000014,-60.205,31.853548860370356,15.0,270.7325,75.92128123095658
4,-35.13636363636364,-52.010306538023045,8.60664988921632,91.00000000000009,-58.302,29.605306889137307,15.0,270.545,69.33046210000334
5,-35.13636363636364,-49.35774673730124,6.159360967336601,43.00000000000029,-55.56799999999999,29.685096866946573,103.0,270.2375,65.2821652042118
6,-32.61038961038961,-49.79141002879378,8.078335659497533,41.80000000000029,-56.1765,29.408225851791894,38.0,272.525,67.26740945658602
7,-19.863636363636342,-50.72015559072636,10.414400489122762,91.00000000000009,-56.80499999999999,31.111952285255285,15.0,277.285,80.49548915933116
8,-30.085798816568047,-48.1345375184675,9.713957743663011,91.00000000000009,-54.13799999999999,29.519836652664612,15.0,276.0925,80.5744621064888
9,-21.145058365758736,-46.99850881410619,9.912925315980562,91.00000000000009,-52.927,30.159102622591416,15.0,282.44,78.02273002144952
10,-41.08247422680412,-58.65609703564435,5.3457944055233675,20.0,-64.9945,15.483122093105127,131.0,297.0225,98.88309761405131
11,-31.96737463126841,-52.83517300064637,10.510093463336284,73.00000000000026,-57.653499999999966,35.63888098341481,143.0,301.8875,81.99637091816929
12,-28.45586563307491,-47.710260339353106,7.774645967979235,30.40000000000026,-54.23299999999999,29.186478221943823,147.0,281.2075,61.415587954117974
13,-28.03963302752291,-57.85769890770696,11.167268895218466,65.20000000000033,-62.376999999999974,37.63954397970313,119.0,282.415,86.62504126983144
14,-24.476017505470427,-54.672708477781185,6.771756384396313,62.80000000000034,-60.86299999999999,22.985535255895183,83.0,339.985,125.5350141394822
15,-10.533944954128437,-32.15587350622159,7.524205502749654,100.0,-29.0,57.70407264656456,123.0,297.2575,73.25763573682951
16,-17.662721893491124,-38.078415516326906,8.84588181534983,94.60000000000005,-43.96,30.940833860773708,83.0,286.325,68.34189326467332
17,-17.662721893491124,-31.809939771718817,11.396992714070786,91.00000000000009,-37.843999999999994,31.21006030112727,15.0,292.615,63.11399824919983
18,-17.662721893491124,-19.826052238825024,2.9198917924170704,8.0,-26.08,28.47443765906537,166.0,304.8075,42.40413239001595
19,-17.54711246200608,-18.586356727678655,2.71908290399335,8.0,-25.625,26.557661323994626,212.0,308.195,34.53052236789939
20,-14.614438502673796,-17.608180230496217,0.3033237203655192,8.0,-24.955,26.02225922167405,256.0,309.78,30.10550780172957
21,-14.299406528189909,-17.146334654726807,1.0316254052939173,8.0,-24.37,26.54888133236502,256.0,310.3125,33.37266611689872
22,-14.285798816568047,-14.713208271586355,0.7278480482900932,8.0,-20.77,29.32826452417531,256.0,325.065,43.293426464071885
23,-14.27566765578635,-14.293391723828154,0.032106587072694724,8.0,-20.5,29.508473359359,259.0,312.925,31.282732856961204
24,-14.27566765578635,-14.283975207627345,0.00389226486927669,8.0,-20.5,29.508473359359,263.0,313.16,30.550194762063303
25,-14.27566765578635,-14.275667655786346,3.552713678800501e-15,8.0,-20.5,29.508473359359,263.0,312.75,30.21899237234756
26,-14.27566765578635,-14.275667655786346,3.552713678800501e-15,8.0,-20.5,29.508473359359,263.0,312.75,30.21899237234756
27,-14.27566765578635,-43.760110645104696,7.121459808024101,24.400000000000247,-50.14999999999999,27.29655472765749,83.0,280.12,69.98957493798629
28,-14.27566765578635,-42.23841196170093,6.760215145401223,91.00000000000009,-48.224,30.151381792548094,83.0,276.4125,67.2473222050514
29,-10.14535519125683,-42.04780896613369,7.524301318048564,100.0,-47.9425,30.687534826864166,15.0,278.7125,69.74091226640213
