Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-48.201298701298704,-80.80211733567933,14.281890919543681,-53.64999999999993,-86.4365,14.133813807674137,170.25,259.135,46.65887402199072
0,-43.85610389610387,-80.41738012834462,15.362990466381254,45.4000000000003,-86.017,25.176892401565382,15.0,260.69,118.95490279933821
1,-43.85610389610387,-83.18661645482696,13.599252953439775,45.4000000000003,-88.72949999999999,22.754857278172516,15.0,259.2775,119.20249785029674
2,-43.85610389610387,-81.15614083568599,15.215093037375759,42.40000000000029,-86.6645,24.57791162304073,15.0,256.8475,117.97090422536397
3,-43.85610389610387,-78.31958938374922,17.393797041539845,43.60000000000029,-83.92049999999999,27.212794412739036,15.0,255.24,107.01456629823811
4,-42.7503426791277,-79.31699121860231,16.50348747920208,42.40000000000029,-84.8115,26.930773619597357,15.0,253.555,111.66578247162377
5,-42.7503426791277,-81.22030469114003,14.864408991217845,42.40000000000029,-86.82950000000001,23.67478468223102,15.0,260.915,114.43958133006255
6,-38.08868501529052,-79.21348100958788,17.49578151075711,42.40000000000029,-84.84700000000001,26.95908364540607,15.0,260.7175,111.08754517834122
7,-38.08868501529052,-75.57397241731816,17.002104061044747,43.60000000000029,-81.363,27.27381218311809,15.0,264.7225,109.68277209183765
8,-38.08868501529052,-75.54433703928406,17.27593183250263,32.80000000000027,-81.28999999999999,27.361865798954582,15.0,263.6925,110.37482930337876
9,-38.08868501529052,-65.54431820598066,16.04692564666442,43.60000000000029,-71.10199999999999,31.054175178226856,15.0,268.965,111.09247848076843
10,-38.08868501529052,-61.9434181633946,14.298859617383894,46.0000000000003,-67.921,29.388197614008252,15.0,272.13,108.7542325613123
11,-38.036485355648516,-58.87974903873419,13.442592510299907,91.00000000000009,-64.67399999999999,32.44431420141287,15.0,271.1375,87.36680487318968
12,-36.59480519480519,-49.61219121644734,9.18751705152965,91.00000000000009,-55.04549999999999,34.03529975995512,26.0,276.0925,82.24247043802855
13,-27.272141057934487,-47.21801905583905,8.200245471793654,91.00000000000009,-52.53049999999999,34.296613094444204,15.0,278.6725,90.80388341778121
14,-27.272141057934487,-43.051201855385514,6.016622928145034,91.00000000000009,-47.210999999999984,39.383685442071105,69.0,281.3975,77.34435657337903
15,-27.272141057934487,-42.41338119972067,10.727642388874752,91.00000000000009,-45.72449999999997,42.60020422192838,15.0,288.055,87.5759497522008
16,-27.272141057934487,-39.07572736115647,9.38028752010816,91.00000000000009,-41.38649999999997,46.23752715868362,69.0,295.675,80.32032354890012
17,-23.604938271604937,-53.50165177764074,9.878736292629217,62.80000000000034,-59.648999999999994,28.414563149906087,15.0,280.81,87.9489277933506
18,-23.604938271604937,-43.76761084133704,7.5333765593774515,88.60000000000011,-49.600999999999985,32.34767687176318,151.0,287.845,75.99188098079952
19,-23.604938271604937,-33.525686991921084,8.500417126078522,88.60000000000011,-39.24849999999997,32.28516916093212,161.0,317.0675,83.41182736129211
20,-21.752100840336134,-23.78491369065781,1.4055055602327629,13.600000000000229,-30.1455,24.907415155932984,218.0,324.315,52.09741620272545
21,-21.752100840336134,-23.535714180029927,1.2982653625706402,18.400000000000233,-29.8425,24.96646738627634,239.0,325.3425,53.59253860146952
22,-21.752100840336134,-22.493751844823954,1.114806174939333,-10.0,-28.475,24.797668741234528,250.0,335.3725,70.50885578244764
23,-21.752100840336134,-21.75210084033613,3.552713678800501e-15,-10.0,-27.5,24.8746859276655,272.0,342.0,79.10752176626443
24,-21.752100840336134,-40.76375230806334,6.3872803340112325,38.80000000000028,-46.55449999999997,34.46437043890406,163.0,290.05,61.162713314567725
25,-21.752100840336134,-37.572990530766695,6.296896151304027,32.80000000000027,-43.26699999999995,36.35719613776625,162.0,294.93,54.80168884258951
26,-21.752100840336134,-36.148354417752714,6.579353678600565,40.000000000000284,-41.696999999999946,36.86948048182949,163.0,296.0075,51.60283367945989
27,-21.752100840336134,-35.50535689799469,6.1508302699381465,47.2000000000003,-40.72149999999995,37.46950143450011,170.0,292.205,52.04255926643116
28,-21.752100840336134,-36.5902062289959,6.01291582776107,45.4000000000003,-41.955999999999946,37.30532487460745,145.0,294.835,54.7756129586881
29,-21.752100840336134,-35.75250686532611,6.29614300155658,40.000000000000284,-41.03449999999995,37.30166363247095,153.0,292.3025,47.92385620700822
9946,39.84382436149932,178.0,301.095,50.682698971147936
