Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,5.599648264789434,1.8643688994481267,1.4548518864518043,-3.9208064728601313,-8.059848996989006,1.4371513533688791,13.745358365448231,18.54632162428591,2.560664619332372
0,5.599648264789434,2.681321416558951,1.4734921691241676,-3.9208064728601313,-7.387491621398668,1.49726347895085,13.098712066750313,18.167663449304353,2.9664036570234114
1,5.599648264789434,3.520208191279772,1.2074278907702578,-3.872288294952614,-6.779231721996248,1.5091611589425686,13.442952686571218,17.125546334352745,2.4807594480224995
2,6.280567346788465,4.1946255216387,0.9651424884135879,-1.587189610667088,-6.242889963781403,1.770739644278248,12.864495827054236,16.312987717665056,1.6474539713876903
3,6.280567346788465,4.651783001618476,0.7470441644871029,-1.587189610667088,-5.595421005943177,1.5664669273096055,13.86769986006361,16.220212213753197,1.2232588954663237
4,6.280567346788465,4.852104528775549,0.8700122869739044,-1.587189610667088,-5.05893829370404,1.5152322838752788,13.86769986006361,16.085544739874212,1.1014352546826667
5,6.280567346788465,5.156289311044896,0.6657194648519399,-1.587189610667088,-4.724023613229075,1.4421221872499908,13.86769986006361,16.013833250049665,0.9632150733381546
6,6.280567346788465,5.3092425462293615,0.7399896944131792,-1.3845744288665895,-4.292579088763226,1.3811078906385388,14.059648402022054,16.327077544880122,0.8911122228318459
7,6.4193754588633904,5.641104079494303,0.21782147603575977,-1.1750672020335249,-3.679688151442722,0.7545137567940718,14.059648402022054,16.266034249685077,0.6528932708032428
8,6.4193754588633904,5.675955257547938,0.17887642408687227,-0.891102189362516,-3.575243519253582,0.7679322054220747,14.144660935113496,16.30623240218141,0.6321765156766151
9,6.4193754588633904,5.691033021811559,0.21226820299594196,-0.891102189362516,-3.4967931290854413,0.8031548423521507,14.072616338904632,16.25688703493519,0.6891156678622611
10,6.4193754588633904,5.718382782604368,0.2100593079032102,-0.891102189362516,-3.3806375345649986,0.8389807909139921,14.144660935113496,16.25075884011971,0.7333010480921505
11,6.4193754588633904,5.773256610426024,0.2198411878694355,-0.891102189362516,-3.210769005312635,0.9306859844758345,14.144660935113496,16.212811443678685,0.9148537308084503
12,6.430337156798828,5.796870706444276,0.27888434288167174,-0.891102189362516,-3.004655041564687,0.9592245981260795,14.084308338599717,16.206215870486734,1.0975712145012422
13,6.569730756185658,5.864175654798319,0.24574137342593236,-0.891102189362516,-2.896945843265394,0.9549693617963283,13.93161785285786,16.15551612998065,1.1029715205778916
14,6.7821788671988275,5.859414678775356,0.32544589048977307,0.4690660579657253,-2.8952420821437936,1.053430784930357,14.144660935113496,16.205874909338593,1.0131533603973528
15,6.7821788671988275,5.929399414306144,0.2545934156977029,0.4690660579657253,-2.720680172633,1.0502670895613906,14.144660935113496,16.19004664227249,1.1154666743224786
16,7.04978946178754,6.009536247777577,0.26491093237325697,1.6550992365836894,-2.4301996878709535,1.1702743908186595,14.083562730929927,16.200258105557552,1.2753195047596184
17,7.04978946178754,6.041366143511862,0.35082144558591194,1.6550992365836894,-2.2951817506372922,1.1693844684132062,14.144660935113496,16.257511927473626,1.358521133541121
18,7.04978946178754,6.112966280673849,0.28288504300789213,1.6550992365836894,-2.0666688874622725,1.1866497423410038,14.144660935113496,16.235801122749816,1.4155504453029906
19,7.04978946178754,6.12829232664902,0.28259619360839144,1.6732082479293346,-1.9181385109399551,1.0751203940690492,13.737635075314213,16.18573517151542,1.472153851349479
20,7.04978946178754,6.162763402451005,0.3012619068871037,1.6732082479293346,-1.8513113871264173,1.1781689001947606,13.737635075314213,16.265336378047696,1.3477349696956695
21,7.04978946178754,6.232940883004262,0.26250335914609474,1.6732082479293346,-1.651578745390668,1.0452614786124097,13.737635075314213,16.16035503416365,1.3811972913922435
22,7.04978946178754,6.254149814954726,0.25958077123940787,1.6732082479293346,-1.6324367145331857,1.0591484079057147,13.737635075314213,16.252509120877004,1.3841197247423183
23,7.04978946178754,6.3034097866164664,0.23380017691665467,1.6732082479293346,-1.5023873216034278,0.9837553489864439,13.737635075314213,16.402083560000527,1.4572788492513242
24,7.04978946178754,6.329739967910053,0.2248711872946779,1.6732082479293346,-1.4261316905032155,0.9747496767386957,13.737635075314213,16.389247743190527,1.3144447862143431
25,7.04978946178754,6.342659574090602,0.23740143478323614,1.6732082479293346,-1.4531229696298025,1.0220369185848188,13.737635075314213,16.5136736065709,1.3340556852271879
26,7.04978946178754,6.363913179003646,0.2410943102545503,1.6732082479293346,-1.4031485945839948,1.037590535940715,13.767537713955551,16.60903397198638,1.3021366484362171
27,7.04978946178754,6.370984264449337,0.22785880969834624,1.6732082479293346,-1.3808661906015032,1.0065497388453764,13.767537713955551,16.546698776705963,1.297478030267849
28,7.04978946178754,6.364982596254476,0.27128998040747526,1.6732082479293346,-1.3994337776932415,1.060555086036159,13.767537713955551,16.601198872563863,1.3437634164068342
29,7.04978946178754,6.394631273030029,0.2497903059207858,1.6732082479293346,-1.386558534028819,1.0618849137671036,14.360659999908373,16.64011567196363,1.121150277083259
