Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-184.886222956901,-351.06505934281,60.15837332482138,-42.54999999999993,-87.26149999999998,15.964580882378355,203.75,273.1925,74.43406356467447
0,-152.4972446916888,-309.8026355387862,63.24542578712841,-33.54999999999993,-76.28049999999999,17.19798519449301,209.25,281.8525,77.98968757951272
1,-152.4972446916888,-280.20668686821995,50.0360847308861,-33.34999999999992,-68.28149999999997,13.759094546880641,219.75,301.4625,84.74675786571424
2,-126.18839907377955,-261.7389653466969,48.75619796171656,-24.349999999999923,-63.06449999999995,13.387853253976179,220.0,323.43,95.48306839434939
3,-126.18839907377955,-249.17207422188667,44.46727868026444,-24.349999999999923,-59.76649999999996,12.074307547433119,233.25,317.92,80.69906969724
4,-126.18839907377955,-238.44253950412454,42.18507445193431,-24.349999999999923,-57.05649999999994,11.755680871391517,224.0,345.76,113.56181092251038
5,-126.18839907377955,-236.4835185615392,41.48838913912411,-22.29999999999994,-56.62899999999996,11.653519168045348,229.0,356.025,121.47385778429859
6,-51.93444974755747,-221.3775459065253,42.693475280308085,-4.249999999999856,-52.45199999999994,12.187218550596379,249.5,377.91,126.8400741090922
7,-51.93444974755747,-212.73223742602363,50.457773132253514,-4.249999999999856,-49.74699999999995,14.306550632490023,243.25,419.625,147.815359908908
8,-51.93444974755747,-209.62729587781232,45.87665248100488,-4.249999999999856,-48.90999999999995,13.15818376524665,220.0,443.5225,157.11378478271726
9,-51.93444974755747,-200.64281079315685,51.58358519501489,-1.149999999999844,-46.27649999999994,14.68229112740926,220.0,471.13,169.93169392435306
10,-42.60431644364771,-185.65338714568364,37.413914783739436,0.500000000000135,-41.55749999999993,11.15325597079169,259.25,500.0975,168.81088862614874
11,-7.3571564493525905,-190.14913577253847,48.89053171954395,9.850000000000204,-43.32999999999995,14.42320179433127,241.25,527.4975,150.21333369162005
12,-77.94902413614372,-136.54482683973222,29.45347996196056,-1.3499999999999162,-21.818499999999943,9.220210558875547,199.25,442.2225,112.96590135412545
13,-120.0,-223.7332739465029,31.65833677555155,-30.0,-55.62049999999999,8.321583668389092,223.25,403.06,112.71235025497427
14,-120.0,-218.35400348971197,30.55446347930923,-30.0,-54.361,7.797661764913894,222.25,401.93,114.71136103281138
15,-120.0,-212.24086330702153,26.377269099677292,-30.0,-52.84399999999999,6.758787909085476,222.5,396.7475,117.7226693069351
16,-119.1232342559544,-208.4873136111795,26.534206581489467,-25.249999999999936,-51.9145,6.865552763616347,214.75,369.0875,109.26636247606123
17,-82.84102648341619,-171.68512460863514,21.92001762288977,-12.0,-36.417,8.434916182156167,191.75,370.8375,148.0044271930742
18,-29.001664862084937,-118.11188318231866,40.25253765155875,9.15000000000011,-18.698999999999938,11.473129433593948,248.75,443.2075,130.55947904595052
19,-158.3873145229795,-220.44227419804244,27.33695396319821,-33.34999999999992,-54.966499999999996,7.067545737382963,213.5,293.415,50.57079468428393
20,-130.0,-201.77548906811896,19.7846698066691,-32.5,-50.3025,5.000771815430098,218.25,320.3225,70.85992604251008
21,-110.0,-198.7044334978707,18.311088566204994,-27.5,-49.388499999999986,4.786125024484843,215.75,307.315,62.77764948610294
22,-110.0,-197.29387595999287,16.04062314179318,-27.5,-48.96349999999998,4.126868395042424,213.0,306.7575,71.62598563894252
23,-110.0,-197.5129607313484,17.613025675244998,-27.5,-49.08599999999999,4.466968099281663,217.0,302.13,57.660596164104994
24,-110.0,-194.82116440043464,20.967243768622897,-27.5,-48.17999999999998,5.476467839766803,222.0,290.5825,47.01356260431664
25,-110.0,-191.9094088620348,20.65396894963025,-27.5,-47.33149999999998,5.356307753480943,211.0,281.5875,33.9985914230281
26,-110.0,-190.91246991266263,19.85575545508074,-27.5,-47.027999999999984,5.191196008628462,216.5,281.7,39.99238990107993
27,-110.0,-182.9265337181376,22.009659006323858,-27.5,-44.851499999999966,5.536490111072177,225.25,279.0025,39.485495675627526
28,-110.0,-178.95668635534946,20.892098794462747,-27.0,-43.83849999999998,5.525562663656979,213.5,277.16,37.72526540662107
29,-110.0,-177.68798024860337,20.111829760083264,-27.5,-43.53399999999998,5.370702374922675,225.75,277.605,31.787147166740205
