Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-188.3873145229795,-368.68208946732835,50.03335275202523,-40.84999999999992,-91.8215,13.341087390089323,201.75,319.0875,129.5190544620752
0,-188.3873145229795,-333.72554522787914,58.740174190535605,-40.84999999999992,-82.62549999999999,15.862915077311627,203.75,316.025,124.80340289831844
1,-155.22242298249765,-293.7297354194113,49.57566657961014,-32.04999999999986,-71.91099999999999,13.77248448900926,209.25,319.515,110.89671331919624
2,-155.22242298249765,-266.15087463237427,37.33181364082326,-32.04999999999986,-63.875999999999955,10.703404785394248,220.0,298.9575,78.77056124435067
3,-155.22242298249765,-247.7738259629459,37.720000772900605,-32.04999999999986,-58.635999999999946,10.166117941476003,220.0,310.2225,103.89422442441158
4,-155.22242298249765,-237.36814023531463,34.87324887660058,-30.299999999999926,-55.48349999999995,9.827713505693998,227.5,318.5325,104.06399266196739
5,-115.61811866864096,-221.89499431915053,33.48360140302514,-19.29999999999986,-51.578999999999944,9.726420667439813,220.5,337.685,106.42241669404055
6,-86.1603033510045,-209.8579031186346,33.98792586332663,-11.799999999999857,-48.289999999999935,10.106685905874409,246.75,365.695,116.74517431140355
7,-77.80933032028582,-200.82394077740423,31.698913781887047,-6.849999999999863,-45.78899999999993,10.066495368299755,236.0,384.0475,122.52610280568788
8,-77.80933032028582,-200.0554850437736,33.989947604233315,-6.849999999999863,-45.66549999999994,10.328314710057995,218.25,405.0475,135.70253633867716
9,-77.80933032028582,-194.37718657477936,28.911648369614056,-6.849999999999863,-43.94499999999994,9.015740402207705,234.75,417.245,124.32774720471694
10,-77.80933032028582,-195.54439523799206,36.49776891303093,-6.849999999999863,-44.01549999999994,11.189659724495673,241.5,415.8775,131.26948662484364
11,-77.80933032028582,-192.9683442762428,35.52696345985134,-6.849999999999863,-43.64699999999994,10.427360212441133,247.5,440.9225,136.44187267386064
12,-79.36821871690486,-214.57410178738718,40.346829089144954,-4.0,-50.545,14.287248685453752,195.0,323.4175,73.81773207536249
13,-106.83632823509186,-204.37278417071272,32.607644666532416,-17.399999999999856,-47.34349999999995,10.167193946709215,217.0,419.3725,122.92689644154366
14,-149.27663778764673,-225.62944798339518,30.09855066425023,-33.149999999999885,-55.03349999999997,8.641620377568108,218.25,306.0925,65.59916782056004
15,-60.75799613579696,-123.23624862007337,19.648986622696235,-5.5,-23.640499999999978,7.471310778571584,210.5,298.335,52.4411839587933
16,-32.84565490106904,-112.50781874987211,17.35962509111659,10.750000000000064,-20.64999999999991,6.4229004351616785,246.75,383.85,94.39226001108354
17,-77.99999999999976,-175.19707778457715,24.136625811452546,-19.49999999999994,-41.45649999999996,6.419726065028017,229.5,307.19,85.71421352377912
18,-77.99999999999976,-179.06915090729993,20.610713165490615,-19.49999999999994,-42.47849999999996,5.5812644400709175,229.25,299.9825,70.33281821987514
19,-77.99999999999976,-172.28163819816552,25.14149957268322,-7.849999999999973,-40.517499999999956,6.760837133817081,238.25,311.4275,83.5234046166103
20,-73.69042655519794,-166.57316937484845,26.200623307816837,-10.0,-39.01049999999996,7.016125337392425,233.25,318.3075,83.6450226776824
21,-73.69042655519794,-159.80701697565684,25.676931330475192,-11.0,-37.30749999999996,6.918566957831649,229.5,338.0575,101.82624204373842
22,-36.412958762017496,-146.5522369220746,35.2970687390365,-2.599999999999941,-34.17949999999997,9.921224962170744,230.0,398.1525,120.70731592886159
23,-29.404653435228823,-87.14802408829428,21.653827009842015,1.3500000000001453,-14.251999999999887,7.541252946294827,250.25,396.705,130.21702740041334
24,-1.2773749358078774,-84.50608270273543,28.68350881728803,24.10000000000008,-12.967999999999913,10.327735763467226,262.5,470.965,90.23797025088719
25,-114.50978312239619,-187.00973807015595,31.687195138610125,-18.79999999999993,-44.433499999999995,10.244449851016899,298.0,495.2275,102.40572551742407
26,-88.02432294070044,-134.92281376922804,18.772422590348754,4.150000000000055,-22.67999999999993,5.854318918542114,280.25,491.485,88.81042886395718
27,-42.81414427468968,-140.7719001699038,29.31471324264917,0.20000000000005613,-32.74299999999998,9.434421073918646,304.25,465.5475,88.52677345724287
28,-44.98081929820105,-114.48756274031139,26.42211635283064,1.250000000000174,-22.751999999999907,8.827986520152855,256.5,475.0625,110.43285502399183
29,-99.43172003473836,-168.96384565467244,23.30811871797427,-13.049999999999898,-41.00099999999997,8.432146761056785,281.75,467.485,89.03860693541874
