Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-214.19999999999973,-361.62399999999997,51.30947109452606,-53.54999999999993,-90.40599999999999,12.827367773631515,207.75,255.61,56.63206159058666
0,-210.19999999999973,-331.05199999999996,54.811660219336616,-52.54999999999993,-82.76299999999999,13.702915054834154,209.25,280.35,69.49888488314039
1,-104.59999999999948,-303.21399999999994,65.55716439871398,-26.14999999999987,-75.80349999999999,16.389291099678495,209.0,280.07,64.14316097605419
2,-88.39999999999966,-279.7739999999999,59.43772980186922,-22.099999999999916,-69.94349999999997,14.859432450467304,209.25,290.245,68.94610195652834
3,-73.39999999999952,-257.3799999999999,62.4576880776099,-18.34999999999988,-64.34499999999997,15.614422019402475,209.25,300.66,78.43986167759348
4,-73.39999999999952,-252.15799999999984,58.6531246908467,-18.34999999999988,-63.03949999999996,14.663281172711676,221.75,300.35,65.75189160777049
5,-73.39999999999952,-248.6979999999998,54.10071714866642,-18.34999999999988,-62.17449999999995,13.525179287166605,220.0,295.4375,56.380885224959
6,-73.39999999999952,-248.2839999999998,48.97147888312143,-18.34999999999988,-62.07099999999995,12.242869720780357,219.75,294.96,51.30203114887363
7,-73.39999999999952,-247.30999999999977,54.77056417456379,-18.34999999999988,-61.827499999999944,13.692641043640947,221.75,296.69,58.04784793599156
8,-73.39999999999952,-246.35599999999977,50.44883808374588,-18.34999999999988,-61.58899999999994,12.61220952093647,220.0,290.62,52.904152483524385
9,-73.39999999999952,-246.10599999999985,47.52925377070428,-18.34999999999988,-61.52649999999996,11.88231344267607,221.75,289.05,47.18271664497499
10,-19.199999999999463,-231.53199999999975,56.88974754733939,-4.799999999999866,-57.88299999999994,14.222436886834847,220.25,296.99,61.542240778184215
11,-19.199999999999463,-229.2819999999998,51.73284523395178,-4.799999999999866,-57.32049999999995,12.933211308487945,227.0,290.2675,45.93004538153647
12,-133.59999999999977,-291.13599999999997,42.80559664342971,-33.39999999999994,-72.78399999999999,10.701399160857427,168.75,224.4375,57.32417002233874
13,-133.59999999999977,-279.936,42.94561099809852,-33.39999999999994,-69.984,10.73640274952463,166.25,241.36,56.0053158191256
14,-133.59999999999977,-271.036,43.55429145331148,-33.39999999999994,-67.759,10.88857286332787,165.75,255.1325,54.82472588850764
15,-96.0,-261.89599999999996,37.43173498517002,-24.0,-65.47399999999999,9.357933746292504,171.25,267.3725,49.71657790667013
16,-96.0,-255.21800000000002,36.28044205904885,-24.0,-63.804500000000004,9.070110514762213,175.0,278.035,45.40373084890712
17,-96.0,-251.676,34.361033511813936,-24.0,-62.919,8.590258377953484,164.25,279.925,43.15701710035113
18,-8.0,-248.3,41.73475769667293,-2.0,-62.075,10.433689424168232,175.25,286.745,39.69935421389119
19,-140.0,-208.0,12.083045973594572,-46.666666666666664,-69.33333333333334,4.0276819911981905,243.0,256.0966666666667,29.18078877161022
20,-140.0,-207.5,11.346805717910216,-46.666666666666664,-69.16666666666667,3.7822685726367395,242.33333333333334,253.29,15.641515627045587
21,-140.0,-208.9,11.991246807567594,-46.666666666666664,-69.63333333333334,3.997082269189197,244.33333333333334,253.18,21.658686735605908
22,-140.0,-206.5,10.805091392487155,-46.666666666666664,-68.83333333333334,3.6016971308290513,232.66666666666666,254.91,33.197250722846846
23,-140.0,-206.9,11.286717857729943,-46.666666666666664,-68.96666666666665,3.7622392859099807,242.0,255.31333333333333,23.760416195382135
24,-140.0,-206.3,12.137133104650374,-46.666666666666664,-68.76666666666667,4.045711034883458,242.66666666666666,251.29666666666668,12.685765863973513
25,-140.0,-204.8,13.075167302944925,-46.666666666666664,-68.26666666666667,4.358389100981642,229.0,254.03666666666672,14.86755565354007
26,-140.0,-204.666,16.209381357719987,-46.666666666666664,-68.222,5.403127119239995,232.0,254.33000000000004,16.918267247761122
27,-140.0,-203.96599999999998,15.158708520187343,-46.666666666666664,-67.98866666666666,5.052902840062447,220.66666666666666,257.29,27.671351209830316
28,-140.0,-202.338,16.091232271022644,-46.666666666666664,-67.446,5.363744090340881,233.0,256.3666666666667,26.337784433943735
29,-140.0,-199.766,17.761217413229318,-46.666666666666664,-66.58866666666667,5.9204058044097705,246.0,259.7933333333333,18.743815572668826
