Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-89.14999999999975,-329.03399999999993,61.78231002074954,-37.84999999999994,-89.18699999999998,14.850024612774233,195.75,277.14,88.89054589775
0,-89.14999999999975,-289.76199999999994,73.51711182439102,-37.84999999999994,-80.0615,18.05613172166178,206.25,304.84,96.66634316037822
1,-89.14999999999975,-267.7474999999999,71.54974567564874,-37.84999999999994,-74.86149999999999,17.20341078827105,209.25,316.985,110.04778973246124
2,-67.42499999999977,-237.77024999999992,69.19893060002815,-31.39999999999992,-67.85999999999999,16.12043578815414,210.5,336.6975,123.01329854430372
3,-37.474999999999696,-218.66174999999984,66.40645614838598,-26.299999999999926,-63.727999999999966,14.949697856478595,220.0,362.5025,137.38180599609979
4,-37.474999999999696,-219.14799999999988,71.86303697659883,-26.299999999999926,-63.85249999999997,16.46045013813416,220.0,362.62,136.0954971701856
5,-37.474999999999696,-202.79949999999985,68.28236796384563,-26.299999999999926,-60.07599999999995,15.496787538067387,221.5,375.045,124.82129415688655
6,-37.474999999999696,-199.86149999999984,63.97945973318319,-26.299999999999926,-59.53049999999997,14.520118620383261,235.25,382.605,116.29733004243907
7,38.12500000000051,-190.0149999999999,79.73843411429658,-2.5999999999998735,-57.93199999999996,18.278003884450865,223.75,417.13,129.01260829856903
8,38.12500000000051,-181.57824999999985,80.55228043443289,-2.5999999999998735,-56.17049999999997,18.453831709160056,240.5,431.0375,118.70416681292194
9,38.12500000000051,-165.64124999999984,75.25881471420819,-2.5999999999998735,-52.48599999999996,17.00069716217547,249.5,443.0275,127.9541856241913
10,38.12500000000051,-177.4214999999999,79.94566451815895,-2.5999999999998735,-55.28549999999996,18.280970016659428,207.5,437.205,120.85024503491915
11,38.12500000000051,-175.85649999999987,89.70852646348631,-2.5999999999998735,-55.27149999999996,20.700279291594143,240.5,452.295,116.05767628640511
12,38.12500000000051,-142.95299999999978,77.87722607412272,-2.5999999999998735,-47.70549999999996,17.7795864617263,240.25,478.69,134.79814130766047
13,38.12500000000051,-135.68349999999975,81.23206465275901,-2.5999999999998735,-45.71299999999996,18.444524417832007,240.5,471.685,131.7469573652462
14,38.12500000000051,-128.44449999999972,74.83591639213098,-2.5999999999998735,-44.24349999999993,16.895529963573235,240.5,485.295,120.13812560964982
15,38.12500000000051,-125.34649999999974,70.97123176153853,-2.5999999999998735,-43.63749999999994,16.397575087493912,250.0,492.035,111.92032333316412
16,38.12500000000051,-139.99774999999977,81.65921603644945,-2.5999999999998735,-47.25699999999996,19.060452539223753,240.5,490.3025,103.87586518893596
17,38.12500000000051,-123.36374999999978,79.11380310784914,-2.5999999999998735,-43.55699999999993,18.315990309016907,234.5,508.6425,114.44650636323505
18,38.12500000000051,-119.06374999999979,82.87046061285963,-2.5999999999998735,-42.47449999999994,19.334411673231777,234.5,508.3425,111.58298848278801
19,38.12500000000051,-112.40074999999973,75.08684742141942,-2.5999999999998735,-41.162499999999945,17.639512996395368,274.0,522.4925,97.93877204023951
20,38.12500000000051,-98.12599999999973,72.07082410032521,-2.5999999999998735,-37.78549999999993,16.989545748783307,274.0,530.16,103.58735757803653
21,38.12500000000051,-101.11424999999974,71.73747131511897,-2.5999999999998735,-38.72699999999993,16.816721470013146,279.25,537.9375,98.33529614919559
22,38.12500000000051,-93.80549999999972,71.74874394196752,-2.5999999999998735,-37.13699999999994,16.985711083142828,298.5,547.425,95.53129395648318
23,38.12500000000051,-90.64974999999971,71.40522691783507,-2.5999999999998735,-36.29999999999993,16.88095968835899,278.25,545.5025,100.04795409577349
24,38.12500000000051,-85.25574999999972,62.96833548052159,-2.5999999999998735,-35.18599999999993,14.62954558419368,259.5,554.8825,104.57159900637457
25,38.12500000000051,-79.77849999999968,51.055445965636295,-2.5999999999998735,-33.96699999999991,11.765713365538039,288.5,560.895,100.61347561335906
26,38.12500000000051,-85.4817499999997,55.296095234541745,-2.5999999999998735,-35.33649999999993,13.021132544828834,289.75,558.6425,95.86568895465155
27,38.12500000000051,-77.23299999999968,55.11361377645283,-2.5999999999998735,-33.11899999999992,12.950648207715346,282.0,552.43,102.19699775433719
28,38.12500000000051,-75.1294999999997,61.83060936744853,-2.5999999999998735,-32.64549999999993,14.550871271164516,263.5,554.525,104.21812162479229
29,38.12500000000051,-71.83974999999968,61.07742536066426,-2.5999999999998735,-31.59799999999992,14.41741814611759,272.5,545.5225,105.2772951245899
