Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-115.07499999999968,-330.9769999999999,60.331821897734926,-35.39999999999992,-89.41699999999999,14.668181925514844,209.25,266.91,67.1574876689115
0,-71.67499999999981,-293.2689999999999,71.78827020481835,-27.59999999999995,-81.02699999999999,17.505488310812716,209.75,308.39,105.92954214948728
1,-4.524999999999707,-249.99699999999993,65.47515752940203,-19.549999999999926,-70.85999999999997,15.954848792765185,220.0,334.43,110.6207998072695
2,-4.524999999999707,-220.86299999999991,54.05746230632741,-17.449999999999868,-63.590999999999966,12.956568565789345,216.0,335.01,120.73106435379421
3,-4.524999999999707,-217.71924999999976,47.6438631744688,-17.449999999999868,-62.72949999999996,10.764306979550534,229.25,331.9875,133.9369692010014
4,-4.524999999999707,-208.42024999999978,44.80051404490246,-19.549999999999926,-60.12399999999995,9.568433727627538,232.0,320.7575,109.47603878817502
5,-4.524999999999707,-202.07724999999985,49.02774011911524,-9.79999999999994,-58.54099999999996,10.900819648081521,248.5,320.8675,112.69136754317076
6,-4.524999999999707,-198.03374999999986,41.279749632083536,-19.549999999999926,-57.34299999999995,8.575435907287748,243.75,313.3825,92.27938864529827
7,-4.524999999999707,-200.97124999999983,42.488547041379306,-19.549999999999926,-58.129999999999946,9.05926045546766,238.5,315.4875,93.6038619328818
8,-4.524999999999707,-196.3999999999998,42.35730545018182,-19.549999999999926,-56.90549999999995,9.184590069785374,222.75,312.22,84.58808485832976
9,-4.524999999999707,-192.08924999999977,41.2144237881291,-19.549999999999926,-55.78849999999995,9.091671614725213,243.5,310.6475,89.82226961477872
10,-4.524999999999707,-198.37899999999982,41.0479248440162,-19.549999999999926,-57.32899999999995,8.963610265958698,240.5,309.37,84.96481977854128
11,-4.524999999999707,-190.6317499999998,44.199997575650414,-19.549999999999926,-55.19399999999995,9.75323864160004,240.5,301.4425,74.8033326045705
12,-77.325,-251.64275,40.85750241617199,-37.5,-69.775,8.804082859673688,180.5,274.5725,90.73232813473926
13,-77.325,-240.75725,32.487561137880135,-37.5,-67.35,6.715839485872188,197.75,286.4275,82.37288916111902
14,-77.325,-229.49325000000002,32.0171160972924,-37.5,-65.2,5.751956188984755,207.25,313.0675,100.50120555868969
15,-77.325,-220.12974999999997,28.709602203574686,-37.5,-63.735,5.219892240267037,220.5,348.1025,101.68903022819129
16,-77.325,-206.52450000000002,27.189710135453826,-37.5,-61.85,5.322358499763055,252.25,408.755,89.54771758677046
17,-76.67499999999978,-196.84025000000003,27.59834186482046,-36.14999999999994,-60.368500000000004,5.680962308447406,267.0,446.3375,74.07891379299512
18,-24.69999999999976,-193.74425,29.416245268346227,-25.14999999999994,-59.6135,6.167190831326698,266.75,447.0975,73.71766998996915
19,-24.69999999999976,-186.61875,33.863952326736786,-25.14999999999994,-58.063500000000005,7.345651281540671,236.0,456.3525,86.1085804014327
20,-24.69999999999976,-178.59274999999997,38.74076798009433,-25.14999999999994,-56.455,8.046497685328701,276.5,472.2725,105.38696014569355
21,-24.69999999999976,-182.75425000000004,36.853665023814145,-25.14999999999994,-57.466499999999996,7.907534555725954,297.75,471.1175,95.30305907341065
22,-24.69999999999976,-185.498,34.8054653897919,-25.14999999999994,-57.94299999999999,7.22247886808955,289.0,462.74,82.8045584493994
23,-24.69999999999976,-182.14724999999999,37.75952096739975,-25.14999999999994,-57.519,7.567581449842485,285.25,479.2875,91.32055063757555
24,-24.69999999999976,-179.105,36.892183792776514,-25.14999999999994,-56.938500000000005,7.631945541603405,291.25,486.49,80.70758886251032
25,-24.69999999999976,-177.75124999999997,36.95861035925866,-25.14999999999994,-56.835,7.531150310543544,363.75,495.8875,84.2690510730363
26,-24.69999999999976,-177.87424999999996,33.96678165042283,-25.14999999999994,-56.841499999999996,6.903195111685605,291.75,494.9175,81.36273759375358
27,-24.69999999999976,-170.18024999999997,34.96595242071209,-25.14999999999994,-55.236000000000004,7.238553308500262,359.0,507.6375,79.39030462688753
28,-24.69999999999976,-168.48725,34.461156846332095,-25.14999999999994,-55.036,7.021606226498327,408.75,516.5675,75.9865272186458
29,-24.69999999999976,-170.201,32.44573872637208,-25.14999999999994,-55.37649999999999,6.723538707406989,410.25,513.05,68.36705164039181
