Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-36.475095785440615,-83.13297888714483,18.5241716673167,-40.0,-86.5,18.714967272212903,203.0,352.35,99.96750722109658
0,-36.475095785440615,-64.56338419168401,24.075184207253994,-30.0,-68.0,26.0,83.0,356.7,113.89122003034299
1,-36.475095785440615,-39.5152052545156,9.120328407224957,-30.0,-43.0,14.52583904633395,295.0,455.0,70.76086489013542
2,-36.475095785440615,-36.475095785440615,0.0,-30.0,-40.0,10.0,398.0,460.0,62.0
3,-36.475095785440615,-41.94479688938914,11.00348150641013,-30.0,-45.5,15.644487847162015,308.0,446.25,71.98741209405989
4,-36.475095785440615,-38.94479688938914,7.409103311845561,-30.0,-42.5,12.196310917650468,308.0,446.25,71.98741209405989
5,-20.8,-38.4710093359212,10.496901348581167,2.0,-41.9,19.61096631989357,188.0,426.05,85.89497948075895
6,-20.8,-31.21405250075016,5.694879386838339,10.0,-34.4,19.28315326911032,332.0,428.7,70.46637495997648
7,-20.8,-28.726542922206097,6.70963450816566,2.0,-32.2,18.675117134840146,332.0,414.1,72.98212109825256
8,-20.8,-24.02401418657391,4.87261963328677,2.0,-27.4,22.370516310536956,332.0,381.1,60.70247111938689
9,-18.8,-38.328848214148266,22.77403447281992,22.0,-40.6,32.96118929893156,227.0,352.35,64.30573458098429
10,-56.25757575757576,-66.07658667130644,3.7109333595837866,-30.0,-69.5,20.11839953873071,124.0,305.75,79.90486530869069
11,-51.14519906323185,-63.77009775254911,5.590731061493381,-30.0,-67.5,21.650635094610966,192.0,345.15,53.49324723738502
12,-46.229885057471265,-60.22463815396277,7.577667265577109,-10.0,-64.0,24.779023386727733,277.0,363.25,57.465533148140196
13,-46.229885057471265,-56.901624182604095,8.12830875647672,-10.0,-60.5,24.994999499899976,308.0,401.15,106.33356713662907
14,-36.77726574500768,-48.39140666677331,8.206605957851552,-10.0,-52.0,28.035691537752374,308.0,405.1,118.46134390593414
15,-36.77726574500768,-50.89982554255215,11.086005712129273,-10.0,-54.5,28.191310718020897,308.0,415.75,117.4903719459599
16,-31.775888717156107,-38.23794120561634,5.3824914524660725,-30.0,-41.5,12.359207094308275,396.0,516.95,126.30062351390036
17,-31.775888717156107,-36.23721796119904,10.217900727921691,-30.0,-39.5,13.592277219068187,335.0,508.5,130.66426443370048
18,-31.775888717156107,-31.78287313588705,0.013968837461881378,-30.0,-35.0,5.0,396.0,523.4,127.51329342464652
19,-31.775888717156107,-31.775888717156114,7.105427357601002e-15,-30.0,-35.0,5.0,396.0,521.5,125.5
20,-31.775888717156107,-53.975214645766926,12.164608828964896,-30.0,-57.5,17.284386017443605,208.0,389.05,105.80287094403441
21,-31.775888717156107,-56.055267226695854,13.79787476657313,-30.0,-59.5,20.11839953873071,163.0,422.35,139.33530600676917
22,-31.775888717156107,-55.07511648968373,13.356376667818916,-30.0,-58.5,20.80264406271472,182.0,442.25,131.5541238426223
23,-31.775888717156107,-60.98674027352462,17.35637607461716,-30.0,-64.5,23.553131426627754,221.0,400.9,123.02312790691025
24,-31.775888717156107,-57.121735490626136,13.600479988442796,-30.0,-60.5,21.08909670896314,180.0,415.75,125.22335045829112
