Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-46.51714285714283,-82.38868955818103,14.558300479387487,-49.549999999999926,-87.9745,14.547455954564706,177.0,262.665,43.922520134892075
0,-44.11969788519635,-70.36718967719348,15.50403325510512,35.20000000000027,-76.0895,29.245185753385133,15.0,265.03,112.50635137626675
1,-44.11969788519635,-61.091801868845906,12.272710669289738,44.200000000000294,-66.9135,32.07882195078244,15.0,266.0275,89.93565335143788
2,-40.12987012987013,-58.74194922566883,11.70932232849489,47.8000000000003,-64.8475,30.37959255404853,15.0,269.8025,80.26000556784182
3,-38.58831168831166,-57.510824454047494,13.867034849036452,46.6000000000003,-63.681,30.457735290070417,15.0,266.465,83.10871660060694
4,-32.4204519774011,-54.16654180973227,11.276593027443107,41.20000000000029,-60.523999999999994,29.634136127108558,15.0,270.75,83.47462189192593
5,-32.4204519774011,-52.74037933354746,9.929066669874528,88.00000000000011,-59.00549999999999,29.043971315059522,15.0,269.4375,71.59941406010248
6,-32.4204519774011,-51.60160811334946,9.641027018055462,88.00000000000011,-58.03049999999999,28.774988614246233,15.0,268.8475,74.00553522372499
7,-32.4204519774011,-50.07838515864576,9.49780981830425,30.40000000000026,-56.710499999999996,28.03512956542203,15.0,267.7475,63.69999013932419
8,-32.4204519774011,-54.73871496217192,12.406592470951525,30.40000000000026,-61.15599999999999,28.664972771659848,15.0,274.7525,87.45062174593157
9,-32.4204519774011,-54.24199141051361,11.610307491924296,100.0,-60.523999999999994,29.05435981053446,15.0,269.1025,83.16584030568079
10,-32.4204519774011,-51.96836166323897,10.28726342407479,41.80000000000029,-58.437999999999995,28.50451816817819,15.0,268.765,78.47559987027815
11,-32.4204519774011,-51.537916013446804,8.733308710501499,30.40000000000026,-58.095499999999994,28.195031118088878,15.0,271.155,84.34658247374341
12,-32.4204519774011,-48.792549228092675,5.7308793582591075,88.00000000000011,-55.34349999999999,28.053903609836553,15.0,266.8075,63.276223368260524
13,-31.52249999999998,-48.55989440080775,7.94775303322735,88.00000000000011,-54.957,29.70061196339228,124.0,268.965,59.17942019824122
14,-31.52249999999998,-48.56887527095981,6.796949481435664,91.00000000000009,-54.54949999999999,31.202338850637478,60.0,270.175,63.665016885256534
15,-31.52249999999998,-47.87376211283022,5.487834190125973,91.00000000000009,-54.320499999999996,28.685738263987567,147.0,269.1975,58.71484900559653
16,-31.52249999999998,-48.448105211603625,6.821216680730867,90.40000000000009,-54.437999999999995,31.463037933422786,147.0,271.98,61.802585706424935
17,-31.52249999999998,-49.34817412692682,7.355698012045523,88.00000000000011,-55.57299999999999,30.029823026451574,15.0,272.355,63.60934660095165
18,-31.52249999999998,-48.2587298256274,5.462248131297097,88.00000000000011,-54.6325,29.3948948586315,146.0,272.12,63.45254604820835
19,-31.52249999999998,-48.85759402794336,7.6806206905580945,88.00000000000011,-54.99499999999999,30.429836920364874,15.0,273.9775,69.47763664482262
20,-31.52249999999998,-49.03357012187743,8.187305386770038,82.00000000000017,-55.24799999999999,30.686796769946536,124.0,277.765,66.0279469240109
21,-31.52249999999998,-47.97397780957411,6.4287204522519446,100.0,-54.185999999999986,30.32299134320361,33.0,281.16,90.18037147849857
22,-31.52249999999998,-47.24839168176382,5.4049089117174125,100.0,-53.6215,29.816670467206777,132.0,279.3875,75.14244701731505
23,-31.52249999999998,-46.28064420010466,6.2252427125990915,100.0,-52.19749999999999,32.427295504713335,15.0,285.975,92.12504748981138
24,-23.156756756756756,-46.730176070423575,6.228262614076387,100.0,-52.72349999999999,31.762982349741687,138.0,279.3725,74.79594737517534
25,-23.156756756756756,-44.72953168076749,6.296213557431865,100.0,-50.66149999999999,31.922620784484504,15.0,288.1075,93.46823494508709
26,-23.156756756756756,-44.49342770713514,6.465672224542117,100.0,-50.529999999999994,31.5456605573572,139.0,287.885,77.05314253812105
27,-22.478185745140344,-42.06466412927967,7.4749823809219835,80.80000000000018,-48.44249999999998,29.70839433140071,158.0,291.5175,58.8309841303883
28,-12.647214854111406,-35.750206810130024,9.358685826422013,100.0,-42.10449999999998,30.213638969015328,162.0,309.0075,66.66905161879836
29,-7.762162162162162,-23.128638017544677,6.444297589015626,100.0,-27.818499999999982,35.91274366781242,217.0,337.93,58.749596594359694
