Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-47.412604501607696,-83.58134265776128,13.912823113011783,-51.49999999999993,-89.16224999999999,13.881957262486443,154.5,254.89,40.66037413748181
0,-36.60173374613,-60.91039521622919,9.628485450594388,39.40000000000028,-78.514,27.064338233180592,15.0,258.01125,98.69675082512849
1,-13.67365994236309,-49.503846595155885,6.4050946867896945,80.20000000000019,-67.66475,27.352139906001888,15.0,266.3975,75.49163525682829
2,-13.67365994236309,-45.306585089928646,5.826290104917878,91.00000000000009,-63.562249999999985,29.9807175520784,15.0,276.23875,76.166162096022
3,-33.48192771084337,-55.36040722193649,7.236526903036479,26.0,-68.565,19.057827132178527,83.0,284.3525,88.52574904371045
4,-24.574482758620668,-51.24375651966535,8.79557585768028,78.0,-65.63850000000001,22.943389412857027,83.0,304.8375,97.96404235100755
5,-4.81111111111111,-26.936343134959124,10.477310312890642,88.0,-36.49875,55.008590224050465,83.0,298.81125,87.36342554775138
6,-25.489690721649485,-37.42035404092751,7.100883505918988,100.0,-50.31625,28.93814499821127,83.0,285.8675,77.3249632638128
7,-19.4271770334928,-26.482378796338388,2.5654627258294567,59.20000000000033,-50.41924999999998,35.62146234277173,124.0,237.8475,92.34922438087935
8,-12.520820189274396,-12.899427000291196,0.43565485782667945,46.6000000000003,-25.26174999999994,32.28689264914644,16.0,330.4925,50.444895120814756
9,-14.267387387387359,-18.0447222779433,6.116747885404244,53.200000000000315,-26.379249999999935,31.016121927757265,114.0,477.67375,288.9304065184859
10,-33.48192771084337,-61.98455251041884,11.28418621756029,34.60000000000027,-75.28524999999999,22.638139995094566,83.0,317.12375,127.40675388666607
11,-24.88447971781305,-58.92975609831206,12.383427772595255,100.0,-72.78075,24.757238930007933,83.0,345.16625,167.03660111166502
12,-20.910563380281687,-44.38601714506782,8.537862895069424,79.6000000000002,-61.38749999999999,30.605867799328955,15.0,263.25,104.20137954940904
13,4.613375796178397,-20.407704087691876,10.699826487544351,91.00000000000009,-21.048999999999992,61.89492708615143,15.0,275.675,66.68672562811882
14,-0.6242105263157898,-37.03207884728683,13.949167298672565,100.0,-53.43449999999997,39.08373971039625,125.0,313.55875,123.30279416313931
15,-11.014814814814786,-29.88758212263844,7.757816661192191,76.60000000000022,-45.25399999999996,38.655475472434766,83.0,297.0425,169.69843309161698
16,-10.117174721189535,-25.308342041071,6.735562834063715,88.60000000000011,-37.38749999999995,45.10989740345248,86.0,302.74375,143.37942874044904
17,-9.284761904761872,-21.01062354414962,6.209057309794002,59.20000000000033,-41.43149999999996,33.034391287717185,15.0,267.7475,95.9917248712096
18,-15.44606413994169,-16.04674066565032,2.5459803078071825,80.0,3.9427500000000033,63.38687776217961,143.0,290.83375,85.929352441046
19,-23.097999999999903,-25.616750331233437,2.4505537635392787,41.20000000000029,-46.74524999999997,24.034644836932838,143.0,321.91875,268.0791760813165
20,-23.097999999999903,-23.097999999999903,0.0,2.200000000000234,-52.26099999999997,19.34120934688426,148.0,272.78,278.556200074599
21,-11.969848229342274,-51.54421360300491,12.835939289051664,76.00000000000023,-71.684,29.969288346572423,83.0,313.15875,140.10774799573898
22,-13.939884726224738,-41.20401041020985,8.033760218011778,100.0,-60.16174999999999,36.79077040423999,15.0,275.18625,94.35460540396267
23,-24.311230425055903,-47.96661096498096,8.674442737854267,100.0,-62.5425,25.386222518326758,83.0,298.35375,101.97552947122904
24,-7.294262295081967,-37.14325912198127,8.179011878436281,100.0,-54.39699999999999,32.99489340791998,15.0,284.88875,95.85843141548635
25,-0.979381044487388,-22.026915058157556,8.876034643035437,91.00000000000009,-41.78199999999996,40.10531106973247,15.0,293.1325,144.7408976196776
26,-19.820278833967024,-35.298745782686794,9.613750750916081,50.0,-52.70625,25.38026715654311,83.0,307.69375,110.88717221093475
27,-1.3571739130434537,-1.3571739130434537,0.0,88.0,-12.114999999999982,41.2071568419856,148.0,335.96,35.790898284340386
28,-15.259999999999902,-15.259999999999904,1.7763568394002505e-15,2.200000000000234,-29.41599999999997,13.41047888779522,224.0,399.625,216.07455744487828
