Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-8.17051359516608,-66.74496124063273,25.891593364311554,-17.799999999999898,-75.53699999999998,25.664576871633805,242.375,327.68625,60.195090370291005
0,-14.071197604790385,-51.302327724808436,22.377461269024277,86.20000000000013,-60.344749999999976,48.83308199814451,15.0,321.6975,171.33920594466989
1,-16.915734597156337,-40.929865757896735,15.259244371409153,88.60000000000011,-50.07149999999996,51.863640324894334,15.0,339.8325,185.27305374433163
2,0.34981132075477284,-37.03558784161874,18.90274177831445,82.00000000000017,-46.168499999999966,53.11576609397633,15.0,336.84375,185.4321151686986
3,6.102537960954509,-29.075680004667188,15.159862736698031,86.20000000000013,-38.15199999999996,55.70864381763397,15.0,327.7175,176.40845414477732
4,3.1263608562692013,-28.57022598146781,19.006542793790306,82.60000000000016,-37.95474999999996,56.154931238828055,15.0,324.94,161.79959486970293
5,6.1140942928040305,-22.18811433497972,11.885888113964475,82.00000000000017,-31.739999999999956,56.71864860872488,15.0,313.89875,136.92845211437066
6,4.742157676348636,-19.64208571574913,10.325329116967913,91.00000000000009,-29.275749999999952,56.88443822292269,42.0,307.11,124.97240855484861
7,1.8874626865672202,-19.990639037076882,11.1954772297429,91.00000000000009,-29.622249999999948,56.866196944560194,15.0,307.9375,125.70997809939352
8,-0.8617821782177586,-18.97563027489894,9.738753086573873,91.00000000000009,-28.72524999999995,57.55393872218919,15.0,306.265,106.92307877628664
9,-5.649166666666611,-18.950774299339944,9.490045022651094,82.0,-28.749249999999947,56.90470608339444,83.0,308.28,119.4375217425412
10,-0.03519637462229852,-20.283724862361964,12.579586571498497,83.20000000000016,-29.94449999999995,56.6004418688583,15.0,314.5725,136.33225863217407
11,1.0855696202532243,-20.03699255948312,13.044509213175504,82.00000000000017,-29.761499999999952,57.40470031060182,15.0,305.11375,115.94362126023795
12,-0.35583333333325484,-18.0419112654883,6.682563203975469,82.0,-27.849499999999953,57.37595271322306,66.0,302.98625,110.4256358864983
13,-3.512499999999946,-18.584900686702465,6.897246102697206,76.0,-28.25599999999995,56.43955052974826,23.0,309.9975,123.38939376522603
14,9.854929178470337,-19.04917179774383,10.425205072161527,82.00000000000017,-28.81574999999995,57.04719013183303,15.0,312.27625,125.70902885607501
15,1.1432061068702861,-18.912675716094746,9.499654909107507,82.00000000000017,-28.566249999999954,56.82564395532625,15.0,313.92625,125.95382412192771
16,5.707474747474789,-16.574668711201195,6.942780939300431,91.00000000000009,-26.264499999999952,57.40874096990813,83.0,308.8925,113.12146544201946
17,5.056632124352387,-16.15365439181699,8.437036119106747,82.60000000000016,-25.79599999999995,57.05535806565417,30.0,309.9625,94.74545421153461
18,-0.4614501510573401,-16.370539680249532,7.389161081638374,76.0,-26.000749999999947,56.56309529576249,83.0,313.46125,119.14369894559049
19,6.912089552238883,-16.199572422462996,7.049312574119475,86.0,-25.747249999999948,56.47192990714509,23.0,311.96875,108.57306421685583
20,-4.195497076023308,-17.84640487932147,10.518022267323326,82.0,-27.395999999999948,56.25297755674812,83.0,318.745,127.92374672045844
21,0.9339759036145381,-15.808132000712208,7.240004418905456,78.0,-25.539249999999946,55.95483142175935,60.0,318.3825,105.2267608251342
22,-2.579166666666609,-16.714681027763348,7.393077930871943,82.00000000000017,-26.198749999999947,55.9462943226583,15.0,322.0225,138.33939964359394
23,1.583333333333389,-18.557093377868636,10.078335210347465,82.00000000000017,-28.098749999999953,56.25896193885475,15.0,319.43625,135.25170400382208
24,-2.2795770392748675,-17.933037578863694,8.666073076056959,79.6000000000002,-27.377999999999947,56.508526046960455,15.0,325.9725,143.76044046868387
25,-2.144309392265134,-16.170221781386246,7.1938916458678035,86.80000000000013,-25.794499999999953,56.645738319400586,15.0,309.24625,93.52175207371545
26,1.6913872832370576,-16.48826257707047,7.352474871201691,82.00000000000017,-26.064999999999944,56.27057823587748,15.0,320.30375,121.27791013180223
27,-0.07416666666661165,-17.270385653696348,7.97278363885662,83.20000000000016,-26.63599999999995,56.41701608557482,15.0,327.87125,136.04045234207913
28,-1.7741666666666092,-14.708282900703296,6.9125023769818865,80.0,-24.32274999999995,56.0597670565755,23.0,326.44375,113.36786068342958
29,-0.029166666666608165,-15.054800023025534,7.252895971212651,100.0,-24.64649999999995,56.52932192897778,37.0,320.295,103.90116926676042
