Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-35.903729903536956,-81.83019702582048,15.87188241948795,-36.94999999999993,-87.395,16.062626653197174,164.0,258.3775,45.03452141135731
0,-34.1205438066465,-80.9139386163624,15.77572608951081,32.200000000000266,-86.491,24.395325761301088,15.0,260.5975,126.29487516819515
1,-34.1205438066465,-81.07242065982608,15.283669359607,100.0,-86.4295,25.89826306434469,15.0,261.625,124.43301159660165
2,-37.64415584415585,-79.40711969163014,15.735270964243144,100.0,-84.9005,22.900288202334924,83.0,296.6,134.37174182096473
3,-40.636152219873146,-76.8228238625739,16.908624212752102,22.00000000000024,-81.9595,25.746348474104053,15.0,267.8975,159.9006628934039
4,-21.093851132686083,-75.66259228295307,23.236625717656093,76.0,-80.145,35.34697971538728,15.0,257.58,130.30275745355507
5,-19.270894632206737,-72.36681475185006,21.570065176915104,41.20000000000029,-77.24899999999998,33.80205317728499,15.0,261.9725,132.04329495945638
6,-19.270894632206737,-77.5237074845286,21.033568985893307,65.20000000000033,-82.56399999999998,29.650816245088453,15.0,258.3675,135.87539307670832
7,-18.060697674418577,-75.9167813066461,22.42328144097552,62.20000000000034,-80.59099999999998,33.81553960829255,15.0,258.91,137.03640720626032
8,-14.149947643979026,-69.92641558230332,24.859811941276956,82.00000000000017,-72.24899999999997,44.288876696073544,15.0,345.6925,257.13776063377003
9,-25.69558282208586,-79.22887113685901,17.63591936396994,42.40000000000029,-84.7965,26.04551569368517,15.0,265.8375,144.6673981716337
10,-40.67821782178218,-82.58530420973864,13.993334254423466,-20.0,-88.55,17.403950700918454,83.0,309.545,125.8646414804412
11,-24.339864559819382,-81.41541404401708,14.783151351154142,50.80000000000031,-87.323,18.510679917280193,83.0,305.0825,120.46124145861191
12,-27.862017804154302,-74.70293147027505,19.7467099583887,76.0,-79.735,34.4847759888331,83.0,303.695,115.86391575896268
13,-25.90285714285712,-78.85699881395865,15.207744597181225,30.0,-84.669,19.68615856382347,83.0,304.3675,134.3840483232664
14,-20.998715596330243,-67.74654615160007,23.857906010064603,82.00000000000017,-69.58199999999997,47.15297950289045,83.0,377.9775,234.01608276729615
15,-45.288990825688074,-80.85295269538611,13.312706301620102,-20.0,-86.725,17.393227848792186,83.0,285.1,113.25506611185214
16,-45.288990825688074,-81.1141102983966,13.92871650899154,-10.0,-87.05,17.92477335979454,83.0,292.015,116.58048625306039
17,-45.288990825688074,-82.28725843783135,12.533256536250418,-20.0,-88.125,16.45400787042476,83.0,300.55,140.29687273777702
18,-40.37613293051359,-82.27367051007919,13.912346272030113,-20.0,-88.075,17.379423897241242,83.0,286.615,132.29452662525387
19,-40.37613293051359,-87.14245928782104,11.417481985740634,-20.0,-92.925,14.30714419442259,83.0,293.2875,129.22433920802226
20,-40.37613293051359,-87.68306843572314,10.981601334464925,-20.0,-93.415,13.395065322722393,83.0,294.74,128.2381472105707
21,-40.37613293051359,-86.43348151825394,11.651726634395288,-30.0,-92.325,14.242344434818309,83.0,288.5625,115.58611981440505
22,-40.37613293051359,-86.30154202482449,12.317524215898136,-30.0,-92.075,14.931321944154844,83.0,297.2625,129.94205860209388
23,-40.37613293051359,-84.42806929037805,13.011248152121444,31.600000000000264,-90.137,16.909524860267368,83.0,288.2825,149.95853658178316
24,-40.37613293051359,-85.70702140575263,13.391186700609145,-20.0,-91.625,16.26681821992242,83.0,287.71,109.99195834241702
25,-40.37613293051359,-83.70836950068757,14.982828069077799,-20.0,-89.6,17.67314346685388,83.0,293.1825,127.06958406223734
26,-40.37613293051359,-82.39911175090471,15.392330082101529,11.80000000000023,-88.2255,19.27483462315566,83.0,290.65,122.30344435051697
27,-32.177033492822964,-83.82424085126011,14.598702336272304,10.0,-89.7,18.204669730593853,83.0,295.0875,121.62287960638821
29,-35.92979719188767,-78.3547729532396,13.74656672308186,8.0,-84.255,18.881339332790986,83.0,301.72,131.9685629231447
0000000000028,-81.743,27.26015684107486,15.0,262.0075,133.55312592279523
29,-45.63021868787276,-74.95849910022518,11.999442826249606,22.0,-80.77,19.777944787060157,83.0,289.065,119.2225891976852
8692656453048,12.740663942803033,22.0,-81.145,19.71545015970977,83.0,265.0875,106.83903707798007
0,-82.6645,19.63803808301634,83.0,281.055,107.61820001746916
