Training_Enemy,Testing_Enemy,Fitness,Gain,Time
1,1,94.91859563501554,100,161
1,2,12.840944700785471,-80.0,174
1,3,65.7480961168341,-20.0,519
1,4,30.023649090702065,-60.0,394
1,5,89.00157530697025,49.60000000000031,387
1,6,-6.163314804034641,-100,475
1,7,-2.70805020110221,-100,15
1,8,21.557582289478205,-70.0,231
2,1,-5.802118375377063,-100,331
2,2,94.20956741322127,92,147
2,3,22.581159392203404,-70.0,83
2,4,13.065526066869309,-80.0,139
2,5,56.73090371629374,-30.0,528
2,6,3.458736454841574,-90.0,255
2,7,57.5489615464343,-30.0,233
2,8,87.13935834262664,29.80000000000026,344
3,1,66.20394224923463,-20.0,329
3,2,30.22544845445559,-60.0,322
3,3,90.38873282559584,64,408
3,4,21.40528862039816,-70.0,269
3,5,20.157316717761578,-70.0,937
3,6,13.009567413221264,-80.0,147
3,7,66.6917323025988,-20.0,202
3,8,21.394197933704003,-70.0,272
4,1,-6.322565239927284,-100,557
4,2,85.08957298262513,8,302
4,3,48.05196501081935,-40.0,383
4,4,91.16064962889992,76.00000000000023,626
4,5,2.171287928358316,-90.0,924
4,6,-5.272999558563747,-100,195
4,7,-3.1354942159291497,-100,23
4,8,76.05224472101789,9.600000000000236,1000
5,1,30.269900217026425,-60.0,308
5,2,3.2764148980476193,-90.0,306
5,3,38.873130815885816,-50.0,458
5,4,3.0185857887455194,-90.0,396
5,5,94.70355803717005,99.4,188
5,6,12.818216449707915,-80.0,178
5,7,21.24109822612272,-70.0,317
5,8,21.5489615464343,-70.0,233
6,1,12.292889735251125,-80.0,301
6,2,75.95014399275047,-10.0,156
6,3,30.67699002086159,-60.0,205
6,4,21.93109579777977,-70.0,159
6,5,47.56705990726082,-40.0,622
6,6,91.75788117912033,73.60000000000025,271
6,7,-2.70805020110221,-100,15
6,8,3.5446788846422983,-90.0,234
7,1,21.269900217026425,-70.0,308
7,2,88.61821644970792,38,178
7,3,20.862272945913766,-70.0,463
7,4,21.40528862039816,-70.0,269
7,5,66.02873816020954,-20.0,392
7,6,21.52353644806849,-70.0,239
7,7,92.37289246928256,77.20000000000022,210
7,8,3.065105804380412,-90.0,378
8,1,30.9001335721758,-60.0,164
8,2,84.84814186652393,2,211
8,3,22.581159392203404,-70.0,83
8,4,29.44180219718773,-60.0,705
8,5,85.69123086302834,22.00000000000024,671
8,6,21.852505523186547,-70.0,172
8,7,-2.70805020110221,-100,15
8,8,92.95669509194094,82.60000000000016,201
