Experiment,Fitness,Health Gain,Average Health Gain,Total Health Gain,Player Life,Enemy Life,Time
experiment_adaptive_comma_bigger_1,30.197191011236015,[-70.   70.    8.  -10.   82.  -30.   88.6  48.4],23.37500000000007,187.00000000000057,[ 0.  70.   8.   0.  82.   0.  88.6 48.4],[70.  0.  0. 10.  0. 30.  0.  0.],[386 801 801 801 801 514 801 801]
experiment_adaptive_comma_bigger_2,13.20544303797476,[-90.   72.  -20.  -20.   70.  -20.   10.6  28.6],3.9000000000000963,31.20000000000077,[ 0.  72.   0.   0.  70.   0.  10.6 28.6],[90.  0. 20. 20.  0. 20.  0.  0.],[321 474 266 474 474 322 474 474]
experiment_adaptive_comma_bigger_3,-6.57249999999992,[-70.  -60.  -10.  -50.   59.2 -10.    1.    5.2],-16.8249999999999,-134.5999999999992,[ 0.   0.   0.   0.  59.2  0.   1.   5.2],[70. 60. 10. 50.  0. 10.  0.  0.],[318 101 283 352 480 359 480 480]
experiment_adaptive_comma_bigger_4,7.160829694323205,[-70.   62.  -20.  -20.   64.6 -50.  -10.   28.6],-1.849999999999926,-14.799999999999407,[ 0.  62.   0.   0.  64.6  0.   0.  28.6],[70.  0. 20. 20.  0. 50. 10.  0.],[308 458 264 458 458 247 301 458]
experiment_adaptive_comma_bigger_5,16.514827586206962,[-40.   70.  -30.  -60.   85.    8.2 -10.   31. ],6.77500000000008,54.20000000000064,[ 0.  70.   0.   0.  85.   8.2  0.  31. ],[40.  0. 30. 60.  0.  0. 10.  0.],[308 464 464 368 464 464 390 464]
experiment_adaptive_comma_bigger_6,0.3500000000000334,[-90.  38. -20. -10.  58. -20. -10. -20.],-9.24999999999996,-73.99999999999967,[ 0. 38.  0.  0. 58.  0.  0.  0.],[90.  0. 20. 10.  0. 20. 10. 20.],[306 543 256 543 543 361 203 503]
experiment_adaptive_comma_bigger_7,11.405000000000106,[-70.   68.  -40.  -30.   62.2   8.2   2.2   5.2],0.7250000000001293,5.8000000000010346,[ 0.  68.   0.   0.  62.2  8.2  2.2  5.2],[70.  0. 40. 30.  0.  0.  0.  0.],[318 480 267 453 480 480 480 480]
experiment_adaptive_comma_bigger_8,6.691527093596141,[-90.   62.  -50.  -30.   56.2   2.8 -10.   28.6],-3.7999999999998977,-30.39999999999918,[ 0.  62.   0.   0.  56.2  2.8  0.  28.6],[90.  0. 50. 30.  0.  0. 10.  0.],[323 406 205 406 406 406 331 406]
experiment_adaptive_comma_bigger_9,-9.507537688442154,[-50.   14.  -60.  -60.   62.2 -10.    8.8 -80. ],-21.87499999999993,-174.99999999999943,[ 0.  14.   0.   0.  62.2  0.   8.8  0. ],[50.  0. 60. 60.  0. 10.  0. 80.],[316 398 337 282 398 357 398 398]
experiment_adaptive_comma_bigger_10,-3.925769980506761,[ 100.   -40.   -30.   -60.    67.  -100.   -70.    49.6],-10.424999999999923,-83.39999999999938,[100.    0.    0.    0.   67.    0.    0.   49.6],[  0.  40.  30.  60.   0. 100.  70.   0.],[513 330 394 337 513 157 299 513]
