Experiment,Fitness,Health Gain,Average Health Gain,Total Health Gain,Player Life,Enemy Life,Time
experiment_adaptive_comma_bigger_1,17.374655581947817,[-70.   76.  -10.  -70.   67.  -40.   89.2  46.6],11.10000000000009,88.80000000000072,[ 0.  76.   0.   0.  67.   0.  89.2 46.6],[70.  0. 10. 70.  0. 40.  0.  0.],[308 421 329 267 421 200 421 421]
experiment_adaptive_comma_bigger_2,26.11347826086962,[-70.   70.   56.  -60.   80.2 -40.   91.   37. ],20.52500000000007,164.20000000000056,[ 0.  70.  56.   0.  80.2  0.  91.  37. ],[70.  0.  0. 60.  0. 40.  0.  0.],[312 460 460 373 460 222 460 460]
experiment_adaptive_comma_bigger_3,2.6000000000000796,[-70.   70.  -60.  -70.   62.8   3.4 -10.   14.8],-7.3749999999999005,-58.999999999999204,[ 0.  70.   0.   0.  62.8  3.4  0.  14.8],[70.  0. 60. 70.  0.  0. 10.  0.],[308 424 337 269 424 424 305 424]
experiment_adaptive_comma_bigger_4,21.803262839879224,[-70.   88.  -20.  -70.   64.6 -40.   82.   80.2],14.350000000000087,114.8000000000007,[ 0.  88.   0.   0.  64.6  0.  82.  80.2],[70.  0. 20. 70.  0. 40.  0.  0.],[308 331 331 269 331 304 331 331]
experiment_adaptive_comma_bigger_5,1.150804020100562,[-70.   76.  -30.  -70.   64.6 -50.  -10.   26.8],-7.8249999999999265,-62.59999999999941,[ 0.  76.   0.   0.  64.6  0.   0.  26.8],[70.  0. 30. 70.  0. 50. 10.  0.],[313 398 276 218 398 236 382 398]
experiment_adaptive_comma_bigger_6,5.789577464788799,[-60.   28.  -40.  -60.   90.4 -60.   32.8  42.4],-3.299999999999919,-26.399999999999352,[ 0.  28.   0.   0.  90.4  0.  32.8 42.4],[60.  0. 40. 60.  0. 60.  0.  0.],[312 426 277 426 426 248 426 426]
experiment_adaptive_comma_bigger_7,16.65514970059892,[-50.   16.  -30.  -50.   56.2  19.   32.2  51.4],5.6000000000001435,44.80000000000115,[ 0.  16.   0.   0.  56.2 19.  32.2 51.4],[50.  0. 30. 50.  0.  0.  0.  0.],[317 334 255 334 334 334 334 334]
experiment_adaptive_comma_bigger_8,16.966946778711563,[-70.   70.  -10.  -70.   86.2 -50.   61.6  68.2],10.750000000000096,86.00000000000077,[ 0.  70.   0.   0.  86.2  0.  61.6 68.2],[70.  0. 10. 70.  0. 50.  0.  0.],[363 714 381 714 714 458 714 714]
experiment_adaptive_comma_bigger_9,-8.902666666666603,[ -50.   -70.   -20.     7.2   89.2  -20.  -100.    55. ],-13.574999999999921,-108.59999999999937,[ 0.   0.   0.  17.2 89.2  0.   0.  55. ],[ 50.  70.  20.  10.   0.  20. 100.   0.],[ 398  342  523 1500 1500  565   15 1500]
experiment_adaptive_comma_bigger_10,18.357806841046358,[-70.   72.   10.  -60.   59.8  16.6 -20.   73. ],10.175000000000104,81.40000000000083,[ 0.  72.  10.   0.  59.8 16.6  0.  73. ],[70.  0.  0. 60.  0.  0. 20.  0.],[314 497 497 469 497 497 203 497]
