Experiment,Fitness,Health Gain,Average Health Gain,Total Health Gain,Player Life,Enemy Life,Time
experiment_adaptive_comma_bigger_1,23.02442577030818,[-70.   64.   36.  -70.   86.2 -40.   82.   36.4],15.575000000000074,124.60000000000059,[ 0.  64.  36.   0.  86.2  0.  82.  36.4],[70.  0.  0. 70.  0. 40.  0.  0.],[318 357 357 350 357 236 357 357]
experiment_adaptive_comma_bigger_2,-9.784705882352851,[-70.  -50.  -10.  -90.   61.6 -80.   35.2  49. ],-19.274999999999885,-154.19999999999908,[ 0.   0.   0.   0.  61.6  0.  35.2 49. ],[70. 50. 10. 90.  0. 80.  0.  0.],[322 135 340 143 340 273 340 340]
experiment_adaptive_comma_bigger_3,0.45096774193556577,[-20.  -30.   18.  -70.   67.  -80.   13.6  32.2],-8.649999999999899,-69.19999999999919,[ 0.   0.  18.   0.  67.   0.  13.6 32.2],[20. 30.  0. 70.  0. 80.  0.  0.],[309 322 496 289 496 164 496 496]
experiment_adaptive_comma_bigger_4,22.049629629629685,[100.  -50.   24.  -70.   82.6 -80.   91.   34.6],16.525000000000066,132.20000000000053,[100.    0.   24.    0.   82.6   0.   91.   34.6],[ 0. 50.  0. 70.  0. 80.  0.  0.],[540 297 540 439 540 298 540 540]
experiment_adaptive_comma_bigger_5,-10.213628318584046,[-40.  -60.   52.  -70.  -40.  -20.  -10.   20.2],-20.97499999999997,-167.79999999999976,[ 0.   0.  52.   0.   0.   0.   0.  20.2],[40. 60.  0. 70. 40. 20. 10.  0.],[330 344 565 525 560 350 311 565]
experiment_adaptive_comma_bigger_6,-5.80300492610829,[ -60.   -10.     2.   -60.    26.8 -100.    44.2   47.8],-13.649999999999894,-109.19999999999915,[ 0.   0.   2.   0.  26.8  0.  44.2 47.8],[ 60.  10.   0.  60.   0. 100.   0.   0.],[433 152 812 361 812 218 812 812]
experiment_adaptive_comma_bigger_7,-15.153127962085266,[ -80.   -10.   -30.   -50.   -40.  -100.    89.8   55.6],-20.574999999999946,-164.59999999999957,[ 0.   0.   0.   0.   0.   0.  89.8 55.6],[ 80.  10.  30.  50.  40. 100.   0.   0.],[323 165 276 313 844 213 844 844]
experiment_adaptive_comma_bigger_8,6.761851851851916,[100.  -50.   10.  -80.   59.8 -80.  -20.   56.8],-0.4249999999999181,-3.399999999999345,[100.    0.   10.    0.   59.8   0.    0.   56.8],[ 0. 50.  0. 80.  0. 80. 20.  0.],[540 301 540 455 540 399 155 540]
experiment_adaptive_comma_bigger_9,11.501306209850213,[-40.  -50.  -10.  -70.   74.8  17.2  56.8  37. ],1.9750000000001364,15.800000000001091,[ 0.   0.   0.   0.  74.8 17.2 56.8 37. ],[40. 50. 10. 70.  0.  0.  0.  0.],[358 350 467 266 467 467 467 467]
experiment_adaptive_comma_bigger_10,13.23289855072469,[ 86.   22.  -10.  -60.   48.4 -50.  -10.    6.4],4.100000000000067,32.80000000000054,[86.  22.   0.   0.  48.4  0.   0.   6.4],[ 0.  0. 10. 60.  0. 50. 10.  0.],[552 552 449 300 552 274 413 552]
