Experiment,Fitness,Health Gain,Average Health Gain,Total Health Gain,Player Life,Enemy Life,Time
experiment_adaptive_comma_bigger_1,-4.026935483870908,[-30.  -40.   56.  -70.   56.2 -90.  -10.   26.2],-12.699999999999928,-101.59999999999943,[ 0.   0.  56.   0.  56.2  0.   0.  26.2],[30. 40.  0. 70.  0. 90. 10.  0.],[331 353 496 408 496 227 202 496]
experiment_adaptive_comma_bigger_2,16.02329113924055,[ 100.   -10.    66.   -70.    67.  -100.    88.6  -60. ],10.200000000000053,81.60000000000042,[100.    0.   66.    0.   67.    0.   88.6   0. ],[  0.  10.   0.  70.   0. 100.   0.  60.],[395 348 395 324 395 216 395 270]
experiment_adaptive_comma_bigger_3,-2.4689201877933797,[-30.  -80.  -20.  -80.   90.4 -90.   91.   46. ],-9.074999999999939,-72.59999999999951,[ 0.   0.   0.   0.  90.4  0.  91.  46. ],[30. 80. 20. 80.  0. 90.  0.  0.],[396 343 508 467 639 296 639 639]
experiment_adaptive_comma_bigger_4,1.130313199105231,[-70.   52.  -30.  -50.   31.  -80.   44.2  47.8],-6.8749999999998925,-54.99999999999914,[ 0.  52.   0.   0.  31.   0.  44.2 47.8],[70.  0. 30. 50.  0. 80.  0.  0.],[325 447 161 258 447 235 447 447]
experiment_adaptive_comma_bigger_5,3.310350877193045,[ -50.   -20.   -20.   -80.    83.2 -100.    88.6   57.4],-5.099999999999927,-40.799999999999415,[ 0.   0.   0.   0.  83.2  0.  88.6 57.4],[ 50.  20.  20.  80.   0. 100.   0.   0.],[398 389 513 488 513 300 513 513]
experiment_adaptive_comma_bigger_6,3.973885601577951,[-30.  -30.   46.  -60.   89.2 -70.  -30.   46.6],-4.77499999999995,-38.1999999999996,[ 0.   0.  46.   0.  89.2  0.   0.  46.6],[30. 30.  0. 60.  0. 70. 30.  0.],[370 325 507 442 507 507 205 507]
experiment_adaptive_comma_bigger_7,-15.188999999999929,[ -80.   -10.   -10.   -50.    -1.4 -100.    25.    48.4],-22.24999999999992,-177.99999999999935,[ 0.   0.   0.   0.  88.6  0.  25.  48.4],[ 80.  10.  10.  50.  90. 100.   0.   0.],[ 332  164  386  353 1000  213 1000 1000]
experiment_adaptive_comma_bigger_8,15.966804123711427,[-70.   64.   60.  -90.   56.2 -80.   79.6  61.6],10.175000000000107,81.40000000000086,[ 0.  64.  60.   0.  56.2  0.  79.6 61.6],[70.  0.  0. 90.  0. 80.  0.  0.],[332 485 485 286 485 310 485 485]
experiment_adaptive_comma_bigger_9,6.548000000000067,[-70.   62.  -20.  -50.   61.  -50.  -10.   65.2],-1.4749999999999162,-11.79999999999933,[ 0.  62.   0.   0.  61.   0.   0.  65.2],[70.  0. 20. 50.  0. 50. 10.  0.],[354 500 327 500 500 299 202 500]
experiment_adaptive_comma_bigger_10,-6.556551126516409,[  86.   -20.   -40.   -40.    28.6 -100.   -70.    46. ],-13.674999999999931,-109.39999999999945,[86.   0.   0.   0.  28.6  0.   0.  46. ],[  0.  20.  40.  40.   0. 100.  70.   0.],[577 368 336 526 577 152  99 577]
