Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-48.201298701298704,-84.9681783593517,12.274306797652057,-55.0,-90.75,12.183492931011205,165.5,256.2725,32.80905162832355
0,-45.45297805642633,-63.78707437789364,9.323865643150864,43.00000000000029,-69.442,31.79746587387116,15.0,265.4475,107.98304146369465
1,-36.59480519480519,-55.16915814046543,8.92893366859277,91.00000000000009,-61.068999999999996,31.62069004623399,15.0,270.5225,100.07282095429308
2,-35.408587257617725,-48.804679504266524,5.651299649413466,91.00000000000009,-54.84799999999999,30.235067322564383,15.0,274.9775,106.70816273252015
3,-34.87662337662338,-49.04337411382062,7.57940989715987,91.00000000000009,-55.165,30.510371597212647,15.0,282.45,100.71485739452744
4,-34.21894484412469,-44.77606703251831,6.593631071840551,91.00000000000009,-51.04549999999999,31.200314577741043,15.0,287.3275,61.230386604609976
5,-24.715894868585732,-49.938679209392234,7.090480968482338,100.0,-56.615,22.0170791659566,153.0,327.75,81.19422701153081
6,-24.715894868585732,-44.54142523198626,8.631100568762383,100.0,-50.583999999999996,27.72546381938452,131.0,364.1325,118.07630983287883
7,-22.56188118811881,-37.26710641905833,11.829559727381998,100.0,-42.298,30.37585876975333,145.0,435.3175,165.04245421633186
8,-22.56188118811881,-24.628749336359988,0.6693231540909981,-10.0,-29.9,15.889933920567449,331.0,525.2125,170.82168288525318
9,-22.56188118811881,-23.854289396398954,1.055246883223673,-10.0,-29.0,15.459624833740307,331.0,516.15,175.9168198325561
10,-22.56188118811881,-22.583421324923464,0.214321655142038,-10.0,-27.525,14.802850232303237,331.0,499.04,182.65482035796373
11,-22.56188118811881,-62.64208352105458,12.54669854941186,-10.0,-68.775,21.32485345787867,83.0,349.93,157.8567550027556
12,-22.56188118811881,-58.02020572063826,9.650601395067856,22.0,-64.266,22.363010620218382,83.0,368.1025,144.25887145596974
13,-19.057471264367816,-56.83064631038197,10.246588324743874,100.0,-62.8235,24.625246145977915,134.0,392.94,145.68672348570408
14,-8.51583333333331,-33.609145359167364,11.079137125242497,86.0,-30.89849999999997,58.62510723017915,136.0,315.9375,148.4924698217051
15,-5.314093959731484,-40.02802819481614,11.162856963795216,77.80000000000021,-42.976999999999954,39.986393573314494,83.0,400.945,243.22959724301649
16,-18.184816753926704,-36.58274335538196,7.218159840493334,72.0,-43.206,26.88524807399033,83.0,298.9575,58.269766549643904
17,-10.936629213483098,-23.761159763545812,7.220006737754475,50.80000000000031,-27.934499999999936,33.158344496521615,15.0,336.19,92.81335518124533
18,-29.56828337874657,-34.815094436332416,2.2730886289697203,16.60000000000023,-41.99599999999999,28.30502400634914,148.0,301.2,46.394719527118596
19,-29.04329113924048,-32.99340953789342,2.832032551619928,14.800000000000228,-39.65649999999996,29.02678603893313,148.0,323.0225,65.175432440069
20,-29.04329113924048,-30.536415464383346,0.7312537142905084,10.000000000000231,-36.71399999999994,27.955611315083146,251.0,353.38,79.32361313001319
21,-28.861590909090882,-30.94226190615565,2.8113354025085333,13.600000000000229,-37.43149999999995,29.932408986748868,210.0,325.71,55.82594289396284
22,-35.40217391304348,-35.62511466490846,1.5720660863673437,-20.0,-42.725,22.74476588140665,254.0,326.1825,46.41119685754721
23,-35.40217391304348,-35.402173913043484,7.105427357601002e-15,-20.0,-42.5,22.776083947860748,254.0,326.5,46.661011562116826
24,-35.40217391304348,-35.402173913043484,7.105427357601002e-15,-20.0,-42.5,22.776083947860748,254.0,326.5,46.661011562116826
25,-35.40217391304348,-54.647163720738526,6.470930348138827,16.0,-61.1425,18.56045241232013,153.0,274.67,59.41562168319035
26,-35.40217391304348,-53.85914221324619,7.139011993646965,57.400000000000325,-60.021499999999996,22.036928954598025,87.0,287.2525,93.01270743156549
27,-31.16994106090373,-53.9323582582476,7.41177983426636,100.0,-60.248999999999995,19.908093806288942,151.0,292.75,93.68453714461101
28,-5.160061162079455,-32.53298836904682,8.590213874179039,71.20000000000027,-34.16949999999994,40.60054888483662,84.0,315.155,149.76965972786343
29,-0.6900974658869083,-31.4741878224837,10.429849891626521,100.0,-32.01849999999994,44.983529849824016,84.0,412.775,213.82344206143534
