Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-55.68920245398771,-84.38589756525498,11.72635866474118,-57.94999999999994,-90.12950000000001,11.699583528912473,183.75,290.405,84.50310482461578
0,-51.23076923076923,-84.14805947889155,13.554609351589614,8.200000000000232,-89.81099999999998,17.976041805692386,83.0,306.94,154.29896759213912
1,-48.6793893129771,-82.60429366095379,13.645182116874157,-20.0,-88.46,17.65696463155545,83.0,301.185,137.27463631348655
2,-40.79918465227815,-81.3132666697184,14.122961789480007,2.200000000000234,-87.0695,18.805963675121784,83.0,299.3425,135.13937321798556
3,-40.79918465227815,-85.16394783589061,12.166270479433512,2.200000000000234,-90.9445,15.956503995236554,83.0,285.7825,125.75782358863404
4,-40.79918465227815,-85.36575670999073,12.217163830830991,2.200000000000234,-91.089,15.931675335632477,83.0,286.0825,125.3060680643599
5,-40.79918465227815,-86.46251857890462,11.845084238069262,2.200000000000234,-92.139,14.914049718302545,83.0,288.135,127.21217227529762
6,-40.79918465227815,-84.17059971623283,11.645562222081294,2.200000000000234,-89.914,15.564279745622674,83.0,284.7325,126.34657076371325
7,-40.79918465227815,-82.45015603400054,13.470578432165693,2.200000000000234,-88.214,17.394378517210672,83.0,288.4575,133.59986225198736
8,-39.74249422632794,-81.9501463681877,15.006851888944071,60.0,-87.65849999999999,20.24286733024747,83.0,310.3725,135.99163115335443
9,-27.104844124700186,-75.22408262160003,18.613835299574582,69.40000000000029,-80.722,30.13367080194517,102.0,312.27,129.47151076588239
10,-34.451282051282014,-70.03591912545869,15.559309528684677,60.40000000000033,-77.8855,26.986073996600556,15.0,279.09,125.32211257395879
11,-35.38648648648649,-66.86622452726637,13.748340882796093,100.0,-73.26299999999999,24.71732653423506,83.0,334.935,132.4741513465929
12,-29.00887573964497,-51.329965064538015,13.306800387753782,82.0,-51.52499999999999,47.85976781180619,83.0,309.775,139.5936938941011
13,-19.20916067146278,-56.32749009245033,16.860328708982237,56.20000000000032,-60.86699999999997,33.409772687044786,83.0,322.395,171.93832898745993
14,-8.299292035398206,-39.99925658289251,11.328590148717954,80.0,-31.745,61.292916189393374,83.0,315.8575,116.03713713182516
15,-21.854209445585216,-47.231435232204966,9.025285220523745,30.0,-58.946000000000005,28.604822740230368,15.0,286.365,103.0726286411674
16,-6.580647948164121,-43.472579441149385,11.792097050411689,67.00000000000031,-55.938499999999976,37.41189807734972,15.0,279.235,106.30707772768471
17,-7.922077922077922,-24.302200495977296,8.690557647138668,87.40000000000012,-41.406000000000006,56.9708431041704,60.0,285.01,70.51446589175869
18,-24.48428364688854,-46.5380604018913,5.388980567705771,100.0,-62.735499999999995,27.502926021607237,15.0,289.5175,88.99137426599277
19,-22.41764705882353,-42.73431807433514,5.624920277821232,100.0,-57.88,27.8033631059266,52.0,292.6825,94.22598735884915
20,-22.33859649122806,-42.52843131299808,6.954008625723504,100.0,-59.86,29.872666436058246,15.0,277.86,106.93472494938209
21,-16.546090712742956,-37.767050167899626,11.135396058957117,100.0,-51.79599999999998,38.05955049655742,83.0,307.375,87.57019684230475
22,-18.14814814814815,-41.83167814698014,10.061557691642989,100.0,-49.396499999999996,39.513601300691384,83.0,341.6925,104.30952949635044
23,-11.472452830188633,-20.270231698301984,10.179688067276256,23.200000000000244,-53.18899999999998,33.716145672363005,15.0,289.135,109.23482400315386
24,-5.948638132295711,-32.14534870558924,4.351876692699879,80.80000000000018,-50.5815,34.367844822595444,15.0,303.385,75.20097589127418
25,-1.4111320754716514,-4.346647713424963,3.901975782532296,74.0,-18.873499999999975,64.81313522543097,141.0,336.5375,106.28799835235397
26,-40.49435483870968,-42.46342397589677,1.1822715019044512,10.0,-66.68849999999999,19.48571445315777,83.0,297.0775,69.24526333078674
27,-26.458301886792402,-26.62911194864936,1.6995386567907207,14.800000000000228,-64.73899999999998,22.438147851371394,163.0,306.025,56.80479183132353
28,-42.23566765578632,-42.23566765578632,0.0,3.4000000000002344,-68.9065,15.352920170117507,83.0,286.4825,48.88557756383778
29,-42.23566765578632,-42.23566765578632,0.0,3.4000000000002344,-68.232,13.842881780900996,83.0,300.42,56.03644885251027
