Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-23.461666666666645,-76.55516080486782,19.624695786393872,-28.54999999999994,-81.965,20.55832252398042,140.0,294.5125,43.20826562996946
0,-20.52447204968938,-70.52963954345991,22.154092345408806,76.60000000000022,-75.60499999999998,34.87735332561808,15.0,292.24,131.87223892844165
1,-20.52447204968938,-68.574174184872,23.531977502155282,76.60000000000022,-73.42649999999998,36.84115630310758,15.0,296.6525,128.16084325467745
2,-20.52447204968938,-74.13280090356919,22.93003949742083,62.80000000000034,-79.148,34.873019599684845,15.0,296.805,126.72362437604127
3,-20.52447204968938,-73.88834123604965,22.962805690460463,62.80000000000034,-78.80199999999999,35.83000971253012,15.0,300.6325,137.50244522825767
4,-20.52447204968938,-75.53496900551887,22.46110773609784,71.80000000000027,-80.21249999999998,36.2605673390531,15.0,300.7025,137.23423040098268
5,-20.52447204968938,-75.89485152810879,21.917051494789956,70.60000000000028,-80.728,34.3745198657378,15.0,299.49,146.0820314070146
6,-20.148971962616763,-75.45197313189831,22.328150039396174,88.00000000000011,-80.33449999999998,35.38688471383153,15.0,299.4875,135.33972012587435
7,-20.148971962616763,-78.51350909499014,19.55716111953255,62.80000000000034,-84.0765,29.734072168978166,15.0,295.6,123.48469540797353
8,-20.148971962616763,-79.0042751927351,18.785445282635553,62.80000000000034,-84.5315,28.400010699821955,15.0,290.3525,130.49369043654946
9,-20.148971962616763,-71.24819585755417,20.940589958205123,62.80000000000034,-76.00899999999997,36.114782555070214,15.0,290.3025,130.96963767892922
10,-20.148971962616763,-59.81388782205804,23.02889614150123,62.80000000000034,-63.69599999999998,42.801060547607996,15.0,295.0175,127.1061060443203
11,-17.186666666666614,-49.92148831856507,19.91753595150333,64.00000000000034,-52.84249999999995,45.82336842430952,15.0,299.4225,131.76786024577464
12,-17.186666666666614,-41.97123523504143,15.642059283872474,49.60000000000031,-43.97999999999995,46.888659609760744,15.0,297.8925,128.20657527502246
13,-17.186666666666614,-38.18280826590891,15.01611449378885,55.60000000000032,-39.74749999999994,48.27857230438789,15.0,300.2725,121.42595786630633
14,-15.106172839506117,-32.519479279052206,8.885628746970248,56.20000000000032,-32.967499999999916,49.65289965097719,15.0,300.3725,116.40648067762379
15,-15.106172839506117,-29.67178832076068,8.761015951006858,65.20000000000033,-29.656499999999905,49.633920938708954,15.0,308.5175,114.06977993206614
16,-7.234470284237694,-29.052540005397677,11.63170496879635,65.20000000000033,-29.188499999999912,48.85690501607742,58.0,322.445,109.74341426709852
17,-7.234470284237694,-23.870489385547835,8.13067975723591,71.20000000000027,-22.6744999999999,49.77020946058005,15.0,334.5675,107.13162672035742
18,4.051656920078016,-19.05353178570877,7.423990282895242,88.60000000000011,-16.306999999999885,49.86767240407369,15.0,346.4925,106.09917503802751
19,4.051656920078016,-14.921382618859663,8.404131312244683,91.00000000000009,-11.65949999999989,48.980526331900634,15.0,351.48,102.1614389092088
20,4.651656920078017,-8.286785236804851,9.154807980791121,91.00000000000009,-3.6284999999999084,47.690530378157995,36.0,373.3275,106.96656133460587
21,4.651656920078017,-0.47830828614695414,7.733789714326021,89.2000000000001,9.354000000000099,52.737560466900725,202.0,439.5675,92.99967980455631
22,4.651656920078017,3.57769780638641,4.1940829006798435,88.60000000000011,16.961000000000105,55.525184186997606,30.0,480.61,58.49216101325031
23,4.651656920078017,4.571856920078018,0.2160091664721667,88.60000000000011,18.80050000000011,56.00128837580444,398.0,484.25,49.79646071760522
24,4.651656920078017,-4.824030269296573,14.569456925537802,88.60000000000011,4.496000000000096,56.2801864247091,15.0,449.485,110.7452697635434
25,4.651656920078017,-10.771354440231427,15.481614016789745,88.60000000000011,-5.059999999999916,53.378403872727496,15.0,422.275,119.70392380786855
26,4.651656920078017,-10.960497388738355,14.622792783291436,91.00000000000009,-5.583999999999914,52.498784214494044,15.0,416.87,113.92031469408782
27,4.651656920078017,-11.216887959383763,14.749734310797727,91.00000000000009,-5.960999999999915,52.53509759199091,15.0,414.3925,114.68033154708787
28,4.651656920078017,-12.013840651750368,13.943743608893515,91.00000000000009,-7.741499999999921,50.34144095822058,15.0,413.4975,117.35384524484061
29,4.651656920078017,-10.894000642978131,12.676081157436663,88.60000000000011,-6.4384999999999195,49.37248644488152,25.0,414.68,127.15147502093713
