

gen best mean std
0 85.292892 1.666664 18.583534
1 85.292892 13.251912 27.228329
2 85.292892 25.848445 29.949586
3 85.292892 41.532414 29.639851
4 85.292892 57.058838 20.050139
5 88.163414 61.507976 17.20205
6 88.163414 62.747197 13.583162
7 88.163414 62.725515 15.007873
8 90.18216 64.741459 10.774865
9 90.18216 64.564322 10.762452
10 90.18216 64.114856 12.955714
11 90.18216 65.553685 10.854274
12 90.18216 66.097433 11.830651
13 90.18216 65.786628 12.611473
14 90.18216 66.58958 11.230443
15 90.18216 63.182601 16.355337
16 90.18216 63.396295 16.40373
17 90.18216 66.271794 11.823594
18 90.18216 62.174312 18.605233
19 90.18216 65.521216 10.73875
20 90.18216 67.504871 7.532613
21 90.18216 66.079786 9.134845
22 90.18216 64.743357 12.479757
doomsday
23 90.18216 51.781263 30.062051
24 90.18216 65.21483 12.410326
25 90.18216 65.175397 14.117659
26 90.18216 65.450535 13.218079
27 90.18216 65.21991 10.103558
28 90.18216 64.571693 15.87017
29 90.18216 66.333715 12.262136

gen best mean std
29 90.18216 66.333715 12.262136
