

gen best mean std
0 70.001507 -3.039189 8.920395
1 70.001507 -0.5829 10.577471
2 70.001507 1.079615 12.770879
3 70.001507 5.602537 16.495423
4 70.001507 7.70657 17.31362
5 70.001507 11.104807 18.687276
6 77.246599 16.138099 21.127686
7 77.246599 19.307087 21.557159
8 77.246599 22.606849 22.904685
9 77.246599 23.401053 24.352211
10 77.246599 26.162019 24.942939
11 77.246599 24.481556 25.125086
12 77.246599 28.149469 24.910717
13 77.246599 29.539186 24.873271
14 77.246599 28.211889 24.820769
15 77.246599 26.807454 25.091376
16 77.246599 30.992699 22.898431
17 77.246599 32.42946 23.409863
18 77.246599 31.420924 24.948657
19 77.246599 32.941297 24.520231
20 77.246599 31.358548 25.533805
doomsday
21 77.246599 29.197195 26.648291
22 77.246599 32.797317 24.974626
23 77.246599 34.713699 24.302403
24 77.246599 35.859914 24.340567
25 77.246599 34.593584 23.724122
26 77.246599 32.921915 24.505153
27 77.246599 29.907522 25.179511
28 77.246599 35.639425 23.70273
29 77.246599 33.661385 23.05974
