Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,-45.87373737373737,-83.0533653629398,12.99402087989407,-47.5,-88.85,13.016431922765932,184.25,277.655,70.55757205998516
0,-22.02702025072321,-73.21737534078524,14.675493540344101,69.40000000000029,-78.95649999999999,23.01416971672018,83.0,299.985,136.68085006686195
1,-22.02702025072321,-70.6868164822964,13.653418393043177,69.40000000000029,-76.53649999999999,21.784055355924895,83.0,302.82,133.2631704560566
2,-22.02702025072321,-67.0503731093287,13.92765969932396,69.40000000000029,-72.94149999999999,23.04405514986458,83.0,331.215,143.15588976706476
3,-18.989885057471234,-57.72712639017159,13.457127566838288,49.60000000000031,-62.618999999999986,32.05563661822992,83.0,333.55,120.36707398620273
4,-37.98706896551724,-62.449382611839575,11.513236716634545,26.0,-68.535,23.476025536704462,83.0,355.365,121.93185299584353
5,-33.18312757201646,-60.08032712706478,11.166735668398713,52.0,-66.085,25.511228410251043,83.0,374.23,125.03592323808385
6,-30.283132530120483,-51.03194049178501,12.703721429817467,82.0,-52.195,49.74245646326687,136.0,310.0425,95.42038929783298
7,-35.34820213799803,-56.01272564044582,6.903041208905305,68.0,-61.87,24.68122971004484,113.0,370.9475,132.91638252581959
8,-25.019101123595505,-48.99946797490789,9.025604635477245,80.80000000000018,-54.323499999999996,31.366817622289968,15.0,288.7375,109.9770821296419
9,-11.474955489614185,-42.20407449643079,9.244584919955605,100.0,-46.71699999999997,39.27923511220661,15.0,293.915,86.29949463930829
10,-38.21533923303835,-58.70633493938751,6.343035857404183,100.0,-64.7,20.184399916767404,83.0,305.9475,97.51320292016871
11,-23.401666666666646,-51.35410445542993,9.458109539042846,61.000000000000334,-55.13199999999997,37.98238507518986,83.0,293.0475,111.79476840957273
12,-7.115905044510328,-37.4313316888435,7.629028484845044,91.00000000000009,-39.84149999999993,48.47031027082464,41.0,309.5975,88.9068360349754
13,-28.51859649122804,-58.357694029119756,7.424030927650446,74.0,-64.4445,18.78511431293406,83.0,298.3075,101.51176258813557
14,-8.058163265306092,-44.552025548554404,11.868777164259638,74.0,-47.66199999999995,41.27294460054924,83.0,327.69,125.24092342361583
15,-7.502841225626684,-22.340601156746292,4.731234669907566,80.80000000000018,-19.606499999999908,55.1391717180265,161.0,289.315,64.23165710924792
16,-31.02933333333331,-55.01599474378575,6.217132364975106,40.0,-61.13549999999999,21.40128827313908,83.0,306.23,110.77344943622546
17,-31.02933333333331,-53.42181896710437,6.568958145398455,22.0,-59.6725,22.21015631980109,131.0,352.95,146.0119430046734
18,-31.02933333333331,-50.24221154718095,8.563384304441167,42.0,-56.2475,24.965140571404767,84.0,403.7975,205.84724067557963
19,-28.406702412868633,-42.09661066464947,10.365365495986223,38.0,-47.439499999999974,27.270811131134366,162.0,534.775,329.4554588635617
20,-11.192452830188628,-42.761079411795976,9.941382709850798,68.8000000000003,-45.88449999999995,39.65523117761397,132.0,411.21,195.87428595913246
21,-13.24485596707819,-28.857522872085198,6.158925156649036,78.0,-25.85,55.6810335751771,156.0,308.9725,66.48734273341054
22,-20.446913580246914,-27.87617201302763,8.609221388889573,91.00000000000009,-30.576499999999996,34.87752209876728,15.0,332.6225,84.8824480899909
23,-3.499999999999993,-17.594898720624766,5.420864958307901,91.00000000000009,-13.431499999999996,56.625776001305276,163.0,291.2925,46.001434148839316
24,-16.10847736625512,-30.649788312461563,9.492257974888247,68.2000000000003,-33.96199999999994,36.778177714509,126.0,348.475,88.63867313424767
25,-29.827902735562287,-38.76946631445813,4.571286952212166,33.40000000000027,-45.76699999999999,28.520103628844,168.0,298.4975,37.99164373582696
26,-28.411483253588518,-33.012080008777204,1.6994806916633605,2.8000000000002343,-40.34,29.715861084612715,242.0,304.4,24.902409521971965
27,-28.411483253588518,-33.268840854979466,4.346531328753222,26.800000000000253,-40.40999999999998,30.374197931797344,212.0,307.6275,64.95366613017313
28,-28.257723577235765,-31.82381547191941,5.249814791963438,91.00000000000009,-37.9775,29.80553629361499,135.0,338.2275,71.81069379799919
29,-4.582113022112997,-17.764926393379028,1.3249225949627135,84.0,-14.344000000000001,54.43969199031163,318.0,389.9825,54.97114873958884
